SF,IH,BW,CR,reward,count,ucb
6,1,500,6,0.3795,290,0.3949
6,1,500,5,0.2945,266,0.3173
6,1,500,7,0.2802,80,0.3218
6,1,250,5,0.2782,41,0.3362
7,0,500,5,0.2732,32,0.3389
6,1,500,8,0.2665,43,0.3232
6,1,250,6,0.2589,22,0.3382
7,0,500,6,0.2320,12,0.3393
6,1,250,7,0.2268,11,0.3388
8,0,500,5,0.2213,10,0.3388
7,0,250,5,0.2133,9,0.3372
6,1,125,5,0.2083,9,0.3322
7,0,500,7,0.1946,7,0.3351
7,0,125,6,0.1494,4,0.3352
7,0,125,5,0.1487,4,0.3345
7,0,250,6,0.1478,4,0.3336
8,0,500,7,0.1468,4,0.3326
6,1,250,8,0.1268,3,0.3414
7,0,500,8,0.1261,3,0.3407
8,0,500,6,0.1259,3,0.3405
8,0,125,7,0.1241,3,0.3387
7,0,125,7,0.1239,3,0.3385
8,0,125,6,0.1233,3,0.3379
8,0,250,5,0.1233,3,0.3379
9,0,125,8,0.1232,3,0.3378
7,0,250,7,0.1232,3,0.3378
8,0,250,7,0.1222,3,0.3368
8,0,125,8,0.1196,3,0.3342
8,0,125,5,0.1193,3,0.3339
10,0,125,6,0.1171,3,0.3317
9,0,250,6,0.1164,3,0.3310
9,0,250,7,0.1111,3,0.3257
7,0,250,8,0.1101,3,0.3247
6,1,125,6,0.1082,3,0.3228
10,0,125,8,0.1033,3,0.3179
9,0,125,6,0.0799,2,0.3428
8,0,250,6,0.0798,2,0.3426
7,0,125,8,0.0797,2,0.3425
9,0,125,7,0.0789,2,0.3418
9,0,500,7,0.0785,2,0.3414
10,0,125,5,0.0759,2,0.3387
11,0,125,5,0.0757,2,0.3385
8,0,250,8,0.0748,2,0.3376
9,0,500,5,0.0742,2,0.3370
10,0,250,7,0.0734,2,0.3362
9,0,500,8,0.0729,2,0.3357
9,0,250,5,0.0724,2,0.3353
10,0,125,7,0.0722,2,0.3351
9,0,125,5,0.0721,2,0.3350
6,1,125,8,0.0721,2,0.3349
10,0,250,6,0.0720,2,0.3348
8,0,500,8,0.0717,2,0.3346
11,0,125,6,0.0708,2,0.3336
10,0,250,5,0.0706,2,0.3334
6,1,125,7,0.0704,2,0.3332
11,0,250,6,0.0687,2,0.3315
10,0,250,8,0.0681,2,0.3309
11,0,125,7,0.0680,2,0.3309
9,0,250,8,0.0673,2,0.3301
10,0,500,8,0.0648,2,0.3276
11,0,250,5,0.0633,2,0.3261
9,0,500,6,0.0623,2,0.3251
10,0,500,5,0.0613,2,0.3241
11,0,250,8,0.0602,2,0.3231
10,0,500,7,0.0596,2,0.3224
11,0,500,5,0.0579,2,0.3207
10,0,500,6,0.0578,2,0.3207
11,0,125,8,0.0572,2,0.3201
12,0,125,7,0.0567,2,0.3195
12,0,250,7,0.0555,2,0.3184
12,0,250,6,0.0530,2,0.3158
12,0,125,6,0.0529,2,0.3157
11,0,500,6,0.0512,2,0.3140
12,0,250,8,0.0497,2,0.3126
11,0,500,8,0.0482,2,0.3110
11,0,250,7,0.0433,2,0.3061
12,0,250,5,0.0432,2,0.3061
12,0,125,8,0.0420,2,0.3049
11,0,500,7,0.0415,2,0.3043
12,0,500,7,0.0409,2,0.3037
12,0,500,5,0.0400,2,0.3028
12,0,500,6,0.0375,2,0.3003
12,0,125,5,0.0373,2,0.3002
12,0,500,8,0.0348,2,0.2976
