SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.4026,133,0.4658
6,1,500,6,0.3426,72,0.4302
6,1,500,7,0.3146,41,0.4307
6,1,500,8,0.2832,26,0.4290
6,1,250,5,0.2829,26,0.4287
7,0,500,5,0.2678,22,0.4263
7,0,500,6,0.2492,17,0.4295
6,1,250,7,0.2373,16,0.4232
7,0,500,7,0.2261,14,0.4248
6,1,125,5,0.2244,14,0.4231
7,0,250,5,0.2233,13,0.4294
6,1,250,6,0.2181,14,0.4168
6,1,250,8,0.2165,12,0.4311
8,0,125,5,0.2163,12,0.4309
8,0,500,5,0.2138,12,0.4284
8,0,250,5,0.2069,11,0.4311
7,0,500,8,0.2066,11,0.4307
7,0,250,6,0.2064,11,0.4305
7,0,125,6,0.2057,12,0.4203
7,0,125,5,0.2033,11,0.4275
6,1,125,6,0.1963,10,0.4314
9,0,125,8,0.1962,11,0.4204
9,0,125,6,0.1960,10,0.4311
6,1,125,7,0.1956,10,0.4307
8,0,500,7,0.1953,10,0.4303
7,0,125,7,0.1933,10,0.4283
6,1,125,8,0.1930,10,0.4281
8,0,125,7,0.1929,11,0.4170
8,0,250,7,0.1920,10,0.4271
7,0,250,8,0.1910,10,0.4261
8,0,500,6,0.1892,10,0.4243
8,0,125,8,0.1888,10,0.4239
8,0,250,6,0.1887,10,0.4238
7,0,125,8,0.1865,10,0.4216
8,0,500,8,0.1832,9,0.4310
8,0,125,6,0.1817,9,0.4295
9,0,125,7,0.1804,9,0.4282
9,0,250,5,0.1784,9,0.4262
8,0,250,8,0.1771,9,0.4249
10,0,125,5,0.1736,9,0.4214
10,0,125,7,0.1718,9,0.4196
9,0,125,5,0.1678,8,0.4306
10,0,250,7,0.1666,8,0.4294
9,0,250,7,0.1660,8,0.4289
9,0,250,6,0.1657,9,0.4135
9,0,500,5,0.1655,8,0.4283
9,0,250,8,0.1644,8,0.4272
10,0,125,6,0.1626,8,0.4254
11,0,125,5,0.1620,8,0.4248
11,0,125,7,0.1618,8,0.4247
9,0,500,8,0.1611,8,0.4239
10,0,250,6,0.1608,8,0.4236
10,0,125,8,0.1605,8,0.4233
11,0,125,6,0.1590,8,0.4219
9,0,500,6,0.1590,8,0.4218
10,0,250,8,0.1528,8,0.4157
10,0,250,5,0.1490,7,0.4299
9,0,500,7,0.1466,7,0.4276
10,0,500,7,0.1462,7,0.4271
7,0,250,7,0.1444,7,0.4254
11,0,250,5,0.1443,7,0.4253
12,0,125,5,0.1409,7,0.4219
11,0,125,8,0.1409,7,0.4218
10,0,500,5,0.1393,7,0.4202
11,0,250,6,0.1392,7,0.4202
10,0,500,6,0.1389,7,0.4199
11,0,250,7,0.1383,7,0.4192
12,0,125,6,0.1353,7,0.4162
11,0,500,6,0.1266,6,0.4301
10,0,500,8,0.1242,6,0.4276
11,0,250,8,0.1233,6,0.4268
12,0,250,6,0.1218,6,0.4253
11,0,500,5,0.1192,6,0.4227
12,0,250,5,0.1160,6,0.4195
11,0,500,7,0.1157,6,0.4192
12,0,125,7,0.1151,6,0.4186
12,0,250,7,0.1134,6,0.4169
12,0,125,8,0.1114,6,0.4149
11,0,500,8,0.0983,5,0.4307
12,0,500,5,0.0962,5,0.4286
12,0,500,6,0.0955,5,0.4280
12,0,500,7,0.0951,5,0.4276
12,0,250,8,0.0919,5,0.4244
12,0,500,8,0.0864,5,0.4189
