SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,884,500,5,14,1,200,11,120,1,126,0.3924
6,860,500,6,11,1,200,11,100,1,1,0.3612
6,865,500,5,2,1,200,12,80,1,1,0.3568
6,875,500,6,16,1,200,13,120,1,1,0.3527
6,884,500,6,14,1,200,11,120,1,66,0.3367
6,884,500,7,14,1,200,11,120,1,38,0.3137
6,875,500,7,16,1,200,13,120,1,1,0.3037
6,884,500,8,14,1,200,11,120,1,21,0.2965
6,868,500,6,2,1,200,17,80,1,1,0.2819
7,875,500,6,16,0,200,13,120,1,1,0.2694
6,875,500,8,16,1,200,13,120,1,1,0.2685
7,884,500,6,14,0,200,11,120,1,13,0.2648
6,884,250,6,14,1,200,11,120,1,9,0.2601
7,884,500,5,14,0,200,11,120,1,20,0.2591
6,887,250,5,16,1,200,14,120,1,1,0.2590
6,884,250,5,14,1,200,11,120,1,24,0.2587
7,884,500,7,14,0,200,11,120,1,11,0.2571
6,887,250,6,16,1,200,14,120,1,1,0.2568
6,868,500,6,17,1,200,57,120,1,1,0.2549
6,861,500,5,20,1,200,57,140,1,1,0.2547
6,875,250,5,16,1,200,13,120,1,1,0.2520
8,875,500,5,16,0,200,13,120,1,1,0.2476
6,877,500,5,9,1,200,42,100,1,1,0.2456
7,875,250,5,16,0,200,13,120,1,1,0.2326
6,880,500,8,9,1,200,25,100,1,1,0.2325
7,884,250,5,14,0,200,11,120,1,9,0.2321
8,884,500,6,14,0,200,11,120,1,8,0.2291
6,884,125,5,14,1,200,11,120,1,13,0.2278
6,887,125,6,16,1,200,14,120,1,1,0.2261
7,876,125,7,20,0,200,54,140,1,1,0.2250
7,875,500,7,16,0,200,13,120,1,1,0.2246
6,884,250,7,14,1,200,11,120,1,14,0.2235
8,867,250,5,20,0,200,38,140,1,1,0.2228
9,884,125,5,14,0,200,11,120,1,4,0.2220
7,875,250,5,16,0,200,10,120,1,1,0.2219
7,875,125,8,16,0,200,13,120,1,2,0.2212
8,884,250,5,14,0,200,11,120,1,8,0.2209
6,884,125,6,14,1,200,11,120,1,7,0.2209
7,884,125,5,14,0,200,11,120,1,7,0.2206
8,884,250,6,14,0,200,11,120,1,8,0.2189
6,884,125,8,14,1,200,11,120,1,8,0.2188
7,884,500,8,14,0,200,11,120,1,8,0.2187
6,867,125,6,20,1,200,35,140,1,1,0.2173
6,879,500,5,9,1,200,52,100,1,1,0.2169
6,884,250,8,14,1,200,11,120,1,11,0.2167
8,875,125,5,16,0,200,13,120,1,1,0.2165
6,890,500,7,17,1,200,64,120,1,1,0.2155
7,884,125,8,14,0,200,11,120,1,8,0.2152
8,884,125,5,14,0,200,11,120,1,10,0.2149
9,875,125,7,16,0,200,13,120,1,1,0.2148
7,884,250,7,14,0,200,11,120,1,3,0.2144
7,875,125,5,16,0,200,13,120,1,1,0.2142
7,884,250,6,14,0,200,11,120,1,9,0.2141
6,863,250,7,13,1,200,23,100,1,1,0.2123
7,875,250,6,16,0,200,13,120,1,1,0.2118
8,875,250,5,16,0,200,13,120,1,2,0.2116
9,882,125,6,16,0,200,70,120,1,1,0.2116
7,884,125,6,14,0,200,11,120,1,11,0.2112
6,886,500,5,20,1,200,92,140,1,1,0.2111
8,883,250,7,15,0,200,17,120,1,1,0.2111
7,885,125,7,17,0,200,20,120,1,1,0.2097
9,875,125,6,16,0,200,13,120,1,1,0.2086
7,884,125,7,14,0,200,11,120,1,6,0.2076
8,862,125,6,15,0,200,71,120,1,1,0.2075
8,870,125,6,14,0,200,11,120,1,1,0.2071
8,884,500,5,14,0,200,11,120,1,10,0.2070
7,875,125,5,20,0,200,92,140,1,1,0.2068
7,879,250,5,12,0,200,10,100,1,1,0.2064
9,875,125,8,16,0,200,13,120,1,1,0.2057
9,875,125,5,16,0,200,83,120,1,1,0.2041
11,875,125,6,16,0,200,13,120,1,1,0.2036
8,884,250,7,14,0,200,11,120,1,7,0.2025
9,875,250,6,16,0,200,13,120,1,2,0.2019
9,862,250,8,20,0,200,80,140,1,1,0.2017
8,875,250,7,16,0,200,13,120,1,1,0.2017
8,875,500,8,16,0,200,13,120,1,2,0.2012
9,880,250,6,20,0,200,58,140,1,1,0.1988
8,884,125,8,14,0,200,11,120,1,8,0.1985
8,875,250,8,16,0,200,13,120,1,1,0.1982
9,884,125,8,14,0,200,11,120,1,9,0.1974
7,875,125,7,14,0,200,44,120,1,1,0.1974
8,884,250,8,14,0,200,11,120,1,7,0.1972
7,875,500,8,16,0,200,13,120,1,1,0.1972
8,884,125,7,14,0,200,11,120,1,10,0.1970
9,875,250,7,16,0,200,13,120,1,1,0.1969
7,877,250,6,20,0,200,60,140,1,1,0.1969
10,884,125,5,14,0,200,11,120,1,7,0.1968
9,884,125,6,14,0,200,11,120,1,8,0.1966
8,875,500,7,16,0,200,13,120,1,1,0.1966
9,875,500,5,16,0,200,13,120,1,2,0.1955
9,884,500,5,14,0,200,11,120,1,5,0.1950
8,884,500,7,14,0,200,11,120,1,7,0.1948
8,884,125,6,17,0,200,41,120,1,1,0.1943
9,884,125,7,14,0,200,11,120,1,7,0.1939
8,884,500,8,14,0,200,11,120,1,7,0.1938
6,867,500,7,2,1,200,49,80,1,1,0.1932
8,866,125,5,6,0,200,21,80,1,1,0.1925
7,862,125,7,9,0,200,10,100,1,1,0.1920
12,875,125,5,16,0,200,13,120,1,2,0.1918
6,884,125,7,14,1,200,11,120,1,8,0.1906
7,884,250,8,14,0,200,11,120,1,8,0.1900
10,875,125,6,16,0,200,13,120,1,2,0.1899
6,873,500,8,7,1,200,66,80,1,1,0.1879
7,878,500,7,14,0,200,77,120,1,1,0.1877
8,868,250,7,13,0,200,14,100,1,1,0.1869
8,884,125,6,14,0,200,11,120,1,5,0.1866
11,888,250,6,20,0,200,36,140,1,1,0.1861
10,884,250,8,14,0,200,11,120,1,7,0.1857
10,884,125,6,14,0,200,11,120,1,5,0.1856
11,875,250,5,16,0,200,13,120,1,1,0.1855
10,884,125,8,14,0,200,11,120,1,7,0.1853
7,860,125,5,11,0,200,54,100,1,1,0.1851
9,874,125,5,13,0,200,42,100,1,1,0.1849
6,871,500,6,10,1,200,74,100,1,1,0.1848
6,861,500,6,17,1,200,86,120,1,1,0.1843
9,875,250,5,16,0,200,13,120,1,2,0.1835
6,872,250,6,16,1,200,90,120,1,1,0.1832
9,884,250,7,14,0,200,11,120,1,5,0.1828
8,863,500,7,16,0,200,65,120,1,1,0.1826
9,884,500,6,14,0,200,11,120,1,7,0.1821
10,875,250,5,16,0,200,13,120,1,2,0.1807
9,860,125,5,7,0,200,56,80,1,1,0.1787
10,875,125,7,16,0,200,13,120,1,2,0.1777
6,877,500,5,6,1,200,92,80,1,1,0.1776
8,879,500,7,20,0,200,78,140,1,1,0.1770
11,884,125,6,14,0,200,11,120,1,6,0.1765
9,884,250,5,14,0,200,11,120,1,7,0.1763
8,875,250,6,16,0,200,13,120,1,1,0.1763
11,873,250,5,13,0,200,12,100,1,1,0.1763
9,884,250,6,14,0,200,11,120,1,6,0.1758
7,874,125,5,13,0,200,65,100,1,1,0.1753
9,875,250,8,16,0,200,13,120,1,1,0.1748
11,875,125,7,16,0,200,13,120,1,2,0.1748
9,884,250,8,14,0,200,11,120,1,6,0.1748
10,875,250,6,16,0,200,13,120,1,2,0.1748
8,872,250,6,7,0,200,77,80,1,1,0.1747
7,867,250,5,9,0,200,53,100,1,1,0.1747
11,875,125,8,16,0,200,13,120,1,2,0.1746
10,884,250,5,14,0,200,11,120,1,5,0.1745
6,887,250,7,4,1,200,34,80,1,1,0.1738
10,875,500,7,16,0,200,13,120,1,1,0.1737
11,884,125,8,14,0,200,11,120,1,4,0.1732
12,875,250,5,16,0,200,13,120,1,1,0.1722
11,884,125,5,14,0,200,11,120,1,7,0.1719
7,874,250,7,8,0,200,20,100,1,1,0.1719
9,885,500,8,17,0,200,64,120,1,1,0.1717
9,878,125,7,9,0,200,59,100,1,1,0.1715
11,884,125,7,14,0,200,11,120,1,6,0.1713
7,866,500,6,12,0,200,100,100,1,1,0.1711
9,868,125,8,9,0,200,41,100,1,1,0.1707
7,890,500,8,8,0,200,36,100,1,1,0.1693
12,884,125,6,14,0,200,11,120,1,6,0.1686
10,884,125,7,14,0,200,11,120,1,5,0.1686
6,867,250,6,13,1,200,76,100,1,1,0.1686
