SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,881,500,5,5,1,200,10,80,1,211,0.3972
6,890,500,5,9,1,200,10,100,1,1,0.3950
6,881,500,6,5,1,200,10,80,1,81,0.3391
6,882,500,7,13,1,200,12,100,1,1,0.3348
6,887,500,6,17,1,200,16,120,1,1,0.3315
6,881,500,7,5,1,200,10,80,1,39,0.2948
6,881,500,8,5,1,200,10,80,1,23,0.2816
6,865,250,7,15,1,200,7,120,1,1,0.2736
6,881,250,5,5,1,200,10,80,1,12,0.2493
6,863,500,5,16,1,200,46,120,1,1,0.2463
6,871,500,6,10,1,200,39,100,1,1,0.2436
6,865,250,8,15,1,200,7,120,1,1,0.2436
7,881,500,5,5,0,200,10,80,1,16,0.2418
7,881,500,6,5,0,200,10,80,1,9,0.2358
6,865,125,7,15,1,200,7,120,1,1,0.2334
8,887,125,8,17,0,200,20,120,1,1,0.2319
6,869,500,5,17,1,200,65,120,1,1,0.2266
6,868,500,5,7,1,200,49,80,1,1,0.2253
7,860,125,7,16,0,200,42,120,1,1,0.2227
6,875,500,7,20,1,200,83,140,1,1,0.2223
6,882,500,5,15,1,200,65,120,1,1,0.2211
8,871,500,7,16,0,200,17,120,1,1,0.2204
6,871,500,6,10,1,200,48,100,1,1,0.2198
7,864,125,7,17,0,200,34,120,1,1,0.2183
6,870,500,5,17,1,200,99,120,1,1,0.2170
6,882,500,7,10,1,200,39,100,1,1,0.2164
6,880,500,6,14,1,200,58,120,1,1,0.2157
6,873,125,5,16,1,200,84,120,1,1,0.2152
6,863,250,5,20,1,200,68,140,1,1,0.2151
6,862,500,5,20,1,200,84,140,1,1,0.2150
6,881,250,6,5,1,200,10,80,1,13,0.2138
6,875,250,7,16,1,200,61,120,1,1,0.2137
6,884,500,5,7,1,200,59,80,1,1,0.2105
7,881,500,7,5,0,200,10,80,1,10,0.2102
6,869,500,7,17,1,200,77,120,1,1,0.2068
7,877,500,6,14,0,200,38,120,1,1,0.2016
6,890,500,8,20,1,200,55,140,1,1,0.2010
6,861,500,6,8,1,200,61,100,1,1,0.1993
6,864,250,5,16,1,200,70,120,1,1,0.1989
8,868,500,6,17,0,200,41,120,1,1,0.1987
7,875,250,7,13,0,200,32,100,1,1,0.1987
7,879,500,5,15,0,200,75,120,1,1,0.1980
6,883,500,7,3,1,200,51,80,1,1,0.1977
7,881,125,7,5,0,200,10,80,1,6,0.1968
7,881,250,5,5,0,200,10,80,1,8,0.1959
6,881,125,5,5,1,200,10,80,1,8,0.1954
9,873,500,6,17,0,200,10,120,1,1,0.1940
6,881,250,7,5,1,200,10,80,1,10,0.1937
6,869,500,5,5,1,200,69,80,1,1,0.1931
10,877,125,6,16,0,200,15,120,1,1,0.1922
6,884,500,6,3,1,200,51,80,1,1,0.1903
7,885,250,8,20,0,200,98,140,1,1,0.1903
8,882,125,6,14,0,200,84,120,1,1,0.1899
8,883,125,5,15,0,200,92,120,1,1,0.1890
7,863,250,6,16,0,200,71,120,1,1,0.1882
7,875,125,6,9,0,200,57,100,1,1,0.1880
8,868,250,6,14,0,200,49,120,1,1,0.1842
8,882,250,5,16,0,200,87,120,1,1,0.1826
7,862,125,7,13,0,200,19,100,1,1,0.1816
6,868,500,8,4,1,200,57,80,1,1,0.1815
9,879,125,8,15,0,200,79,120,1,1,0.1814
7,881,125,5,5,0,200,10,80,1,6,0.1812
9,866,500,7,16,0,200,33,120,1,1,0.1809
8,883,250,7,15,0,200,68,120,1,1,0.1808
10,886,125,8,16,0,200,45,120,1,1,0.1807
8,881,500,5,5,0,200,10,80,1,11,0.1804
8,881,125,5,5,0,200,10,80,1,8,0.1793
7,881,250,7,5,0,200,10,80,1,6,0.1783
7,881,250,6,5,0,200,10,80,1,6,0.1769
8,875,125,7,13,0,200,58,100,1,1,0.1761
8,880,125,6,11,0,200,86,100,1,1,0.1760
7,878,250,5,9,0,200,42,100,1,1,0.1749
10,861,250,5,14,0,200,63,120,1,1,0.1742
7,872,500,5,8,0,200,56,100,1,1,0.1734
6,880,250,6,12,1,200,59,100,1,1,0.1729
10,890,125,7,15,0,200,88,120,1,1,0.1727
6,881,125,8,5,1,200,10,80,1,6,0.1724
7,868,500,5,13,0,200,61,100,1,1,0.1722
9,877,250,6,10,0,200,9,100,1,1,0.1719
6,881,250,8,5,1,200,10,80,1,8,0.1717
8,881,500,6,5,0,200,10,80,1,7,0.1712
6,885,125,5,8,1,200,55,100,1,1,0.1712
10,881,125,6,5,0,200,10,80,1,5,0.1710
9,874,125,8,12,0,200,76,100,1,1,0.1705
6,881,125,6,5,1,200,10,80,1,9,0.1692
9,864,250,5,12,0,200,67,100,1,1,0.1679
9,889,250,8,11,0,200,77,100,1,1,0.1672
11,862,125,7,11,0,200,15,100,1,1,0.1664
10,890,250,5,17,0,200,44,120,1,1,0.1660
9,883,250,5,14,0,200,64,120,1,1,0.1660
9,881,125,7,5,0,200,10,80,1,7,0.1651
8,881,125,6,5,0,200,10,80,1,6,0.1646
8,881,250,6,5,0,200,10,80,1,6,0.1643
9,881,125,5,5,0,200,10,80,1,7,0.1634
6,887,500,6,7,1,200,98,80,1,1,0.1624
9,864,125,6,7,0,200,60,80,1,1,0.1620
7,878,125,5,10,0,200,32,100,1,1,0.1614
9,873,500,8,11,0,200,12,100,1,1,0.1612
6,884,500,6,4,1,200,98,80,1,1,0.1612
6,881,125,7,5,1,200,10,80,1,6,0.1610
7,881,500,8,5,0,200,10,80,1,9,0.1610
9,860,500,6,15,0,200,90,120,1,1,0.1607
10,890,125,5,7,0,200,25,80,1,1,0.1597
6,862,125,8,11,1,200,75,100,1,1,0.1596
8,860,500,6,4,0,200,20,80,1,1,0.1593
9,881,500,7,5,0,200,10,80,1,5,0.1591
6,883,250,5,12,1,200,95,100,1,1,0.1588
10,881,125,8,5,0,200,10,80,1,4,0.1588
8,889,500,6,16,0,200,74,120,1,1,0.1587
8,881,125,8,5,0,200,10,80,1,6,0.1586
8,881,500,8,5,0,200,10,80,1,8,0.1575
7,881,125,6,5,0,200,10,80,1,7,0.1571
11,889,125,5,16,0,200,80,120,1,1,0.1571
10,878,125,6,15,0,200,99,120,1,1,0.1564
9,881,250,7,5,0,200,10,80,1,5,0.1563
7,890,500,6,14,0,200,94,120,1,1,0.1560
8,881,500,7,5,0,200,10,80,1,8,0.1556
6,888,125,8,5,1,200,10,80,1,1,0.1556
6,864,500,8,8,1,200,95,100,1,1,0.1555
8,880,250,6,11,0,200,32,100,1,1,0.1554
7,879,125,8,10,0,200,27,100,1,1,0.1550
9,875,125,5,3,0,200,52,80,1,1,0.1537
7,873,250,6,10,0,200,89,100,1,1,0.1536
8,881,125,7,5,0,200,10,80,1,8,0.1533
8,888,250,7,12,0,200,87,100,1,1,0.1532
7,887,500,6,6,0,200,45,80,1,1,0.1530
9,881,500,8,5,0,200,10,80,1,6,0.1503
10,881,500,7,17,0,200,32,120,1,1,0.1502
7,881,250,8,5,0,200,10,80,1,7,0.1498
8,881,250,5,5,0,200,10,80,1,9,0.1495
9,881,250,5,5,0,200,10,80,1,6,0.1490
9,864,250,6,9,0,200,47,100,1,1,0.1489
9,881,500,5,5,0,200,10,80,1,6,0.1489
7,871,500,7,7,0,200,62,80,1,1,0.1487
6,881,500,8,6,1,200,99,80,1,1,0.1484
9,881,125,6,5,0,200,10,80,1,8,0.1473
10,881,250,7,5,0,200,10,80,1,5,0.1464
6,864,125,7,6,1,200,33,80,1,1,0.1459
9,881,500,6,5,0,200,10,80,1,6,0.1456
6,871,125,5,7,1,200,98,80,1,1,0.1455
7,876,125,6,8,0,200,21,100,1,1,0.1452
11,866,250,5,14,0,200,34,120,1,1,0.1440
7,881,125,8,5,0,200,10,80,1,7,0.1425
9,883,250,7,7,0,200,96,80,1,1,0.1424
10,873,125,6,5,0,200,8,80,1,1,0.1424
8,877,250,8,9,0,200,79,100,1,1,0.1421
10,869,250,6,7,0,200,78,80,1,1,0.1415
9,881,125,8,5,0,200,10,80,1,6,0.1415
6,885,250,5,4,1,200,65,80,1,1,0.1413
10,881,125,5,5,0,200,10,80,1,6,0.1399
11,864,250,7,17,0,200,48,120,1,1,0.1397
10,889,500,7,15,0,200,93,120,1,1,0.1397
9,868,250,7,6,0,200,47,80,1,1,0.1394
7,867,125,5,2,0,200,30,80,1,1,0.1384
10,881,125,7,5,0,200,10,80,1,6,0.1383
9,867,500,7,9,0,200,31,100,1,1,0.1383
10,886,500,6,10,0,200,35,100,1,1,0.1365
11,861,250,6,12,0,200,7,100,1,1,0.1365
8,881,250,8,5,0,200,10,80,1,6,0.1363
8,881,250,7,5,0,200,10,80,1,6,0.1360
10,881,500,5,5,0,200,10,80,1,6,0.1354
9,887,500,5,3,0,200,22,80,1,1,0.1353
11,881,125,5,5,0,200,10,80,1,5,0.1353
11,881,250,6,5,0,200,10,80,1,5,0.1347
10,867,125,8,4,0,200,91,80,1,1,0.1344
10,874,500,5,11,0,200,42,100,1,1,0.1340
7,866,250,7,2,0,200,58,80,1,1,0.1336
11,881,250,7,5,0,200,10,80,1,5,0.1330
10,889,500,8,17,0,200,80,120,1,1,0.1319
12,860,250,8,14,0,200,54,120,1,1,0.1308
11,881,250,8,5,0,200,10,80,1,4,0.1305
