state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 89.0, 'rssi': -6.0, 'snr': 5.5, 'time_over_air': 14.0, 'bytes_per_second': 642.0, 'chunks_count': 1.0, 'attempt': 1}",9,883,500,8,20,0,200,10,140,1,0.02855378333
"{'delay': 177.0, 'rssi': -8.0, 'snr': 8.0, 'time_over_air': 48.0, 'bytes_per_second': 187.0, 'chunks_count': 1.0, 'attempt': 1}",10,870,500,8,17,0,200,16,120,1,0.025874390000000004
"{'delay': 290.0, 'rssi': -7.0, 'snr': 7.25, 'time_over_air': 91.0, 'bytes_per_second': 98.0, 'chunks_count': 1.0, 'attempt': 1}",12,883,500,8,15,0,200,92,120,1,0.01619608333
"{'delay': 2171.0, 'rssi': -7.0, 'snr': 6.75, 'time_over_air': 986.0, 'bytes_per_second': 9.0, 'chunks_count': 1.0, 'attempt': 1}",12,890,250,5,6,0,200,28,80,1,0.02664018667
"{'delay': 1976.0, 'rssi': -15.0, 'snr': 12.25, 'time_over_air': 824.0, 'bytes_per_second': 10.0, 'chunks_count': 1.0, 'attempt': 1}",6,866,250,7,3,1,200,13,80,1,0.03715430667
"{'delay': 316.0, 'rssi': -25.0, 'snr': 7.25, 'time_over_air': 12.0, 'bytes_per_second': 750.0, 'chunks_count': 1.0, 'attempt': 1}",12,875,500,7,20,0,200,12,140,1,0.0176485
"{'delay': 814.0, 'rssi': -6.0, 'snr': 7.5, 'time_over_air': 314.0, 'bytes_per_second': 28.0, 'chunks_count': 1.0, 'attempt': 1}",6,889,250,8,6,1,200,10,80,1,0.03863976
"{'delay': 348.0, 'rssi': -16.0, 'snr': 8.75, 'time_over_air': 12.0, 'bytes_per_second': 750.0, 'chunks_count': 1.0, 'attempt': 1}",11,875,250,8,4,0,200,47,80,1,0.02679196333
"{'delay': 1498.0, 'rssi': -21.0, 'snr': 10.5, 'time_over_air': 617.0, 'bytes_per_second': 14.0, 'chunks_count': 1.0, 'attempt': 1}",10,877,500,6,20,0,200,25,140,1,0.024361650000000002
"{'delay': 299.0, 'rssi': -7.0, 'snr': 7.25, 'time_over_air': 101.0, 'bytes_per_second': 89.0, 'chunks_count': 1.0, 'attempt': 1}",9,862,125,6,12,0,200,55,100,1,0.028162583330000004
"{'delay': 834.0, 'rssi': -17.0, 'snr': 11.25, 'time_over_air': 350.0, 'bytes_per_second': 25.0, 'chunks_count': 1.0, 'attempt': 1}",10,878,250,6,5,0,200,43,80,1,0.029091893330000004
"{'delay': 688.0, 'rssi': -18.0, 'snr': 10.5, 'time_over_air': 276.0, 'bytes_per_second': 32.0, 'chunks_count': 1.0, 'attempt': 1}",11,875,500,5,7,0,200,16,80,1,0.027858800000000003
"{'delay': 438.0, 'rssi': -16.0, 'snr': 8.25, 'time_over_air': 157.0, 'bytes_per_second': 57.0, 'chunks_count': 1.0, 'attempt': 1}",11,873,250,7,14,0,200,100,120,1,0.02014666667
"{'delay': 2310.0, 'rssi': -10.0, 'snr': 10.75, 'time_over_air': 1035.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",12,876,125,8,2,0,200,56,80,1,0.01687458333
"{'delay': 6419.0, 'rssi': -21.0, 'snr': 8.75, 'time_over_air': 2761.0, 'bytes_per_second': 3.0, 'chunks_count': 1.0, 'attempt': 1}",10,890,500,5,4,0,200,20,80,1,0.026319846670000004
"{'delay': 263.0, 'rssi': -16.0, 'snr': 5.5, 'time_over_air': 87.0, 'bytes_per_second': 103.0, 'chunks_count': 1.0, 'attempt': 1}",10,889,125,6,12,0,200,73,100,1,0.023364641670000002
"{'delay': 1809.0, 'rssi': -8.0, 'snr': 11.0, 'time_over_air': 797.0, 'bytes_per_second': 11.0, 'chunks_count': 1.0, 'attempt': 1}",7,883,500,6,3,0,200,13,80,1,0.03539427667
"{'delay': 87.0, 'rssi': -19.0, 'snr': 6.25, 'time_over_air': 13.0, 'bytes_per_second': 692.0, 'chunks_count': 1.0, 'attempt': 1}",12,875,125,5,14,0,200,29,120,1,0.0181465
"{'delay': 3962.0, 'rssi': -8.0, 'snr': 9.25, 'time_over_air': 1680.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 1}",12,868,250,8,3,0,200,19,80,1,0.020276100000000002
"{'delay': 3962.0, 'rssi': -8.0, 'snr': 10.25, 'time_over_air': 1680.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 2}",12,881,500,6,20,0,200,66,140,1,0.01715275
"{'delay': 1647.0, 'rssi': -6.0, 'snr': 7.5, 'time_over_air': 740.0, 'bytes_per_second': 12.0, 'chunks_count': 1.0, 'attempt': 1}",7,887,250,5,20,0,200,69,140,1,0.030457466670000002
"{'delay': 168.0, 'rssi': -7.0, 'snr': 10.25, 'time_over_air': 52.0, 'bytes_per_second': 173.0, 'chunks_count': 1.0, 'attempt': 1}",11,862,500,6,13,0,200,13,100,1,0.025445790000000003
"{'delay': 442.0, 'rssi': -17.0, 'snr': 6.25, 'time_over_air': 153.0, 'bytes_per_second': 58.0, 'chunks_count': 1.0, 'attempt': 1}",11,862,500,5,15,0,200,13,120,1,0.024694450000000003
"{'delay': 413.0, 'rssi': -15.0, 'snr': 6.75, 'time_over_air': 145.0, 'bytes_per_second': 62.0, 'chunks_count': 1.0, 'attempt': 1}",10,860,250,8,5,0,200,71,80,1,0.029841086670000003
"{'delay': 974.0, 'rssi': -26.0, 'snr': 12.25, 'time_over_air': 407.0, 'bytes_per_second': 22.0, 'chunks_count': 1.0, 'attempt': 1}",6,860,500,5,13,1,200,87,100,1,0.03158445
"{'delay': 174.0, 'rssi': -9.0, 'snr': 3.75, 'time_over_air': 15.0, 'bytes_per_second': 600.0, 'chunks_count': 1.0, 'attempt': 1}",11,876,250,5,4,0,200,15,80,1,0.02770017333
"{'delay': 802.0, 'rssi': -17.0, 'snr': 9.25, 'time_over_air': 306.0, 'bytes_per_second': 29.0, 'chunks_count': 1.0, 'attempt': 1}",12,886,125,8,16,0,200,6,120,1,0.018533333330000002
"{'delay': 3142.0, 'rssi': -9.0, 'snr': 9.25, 'time_over_air': 1123.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",7,880,125,7,4,0,200,60,80,1,0.02223322
"{'delay': 3143.0, 'rssi': -9.0, 'snr': 9.25, 'time_over_air': 1123.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 2}",11,883,125,6,16,0,200,47,120,1,0.01927516667
"{'delay': 2810.0, 'rssi': -9.0, 'snr': 10.0, 'time_over_air': 1168.0, 'bytes_per_second': 7.0, 'chunks_count': 1.0, 'attempt': 1}",7,860,250,6,3,0,200,90,80,1,0.03169796667
"{'delay': 196.0, 'rssi': -27.0, 'snr': 10.25, 'time_over_air': 65.0, 'bytes_per_second': 138.0, 'chunks_count': 1.0, 'attempt': 1}",11,867,500,6,12,0,200,36,100,1,0.024562475
"{'delay': 630.0, 'rssi': -18.0, 'snr': 6.5, 'time_over_air': 247.0, 'bytes_per_second': 36.0, 'chunks_count': 1.0, 'attempt': 1}",9,862,125,7,15,0,200,23,120,1,0.02741907667
"{'delay': 609.0, 'rssi': -17.0, 'snr': 11.5, 'time_over_air': 231.0, 'bytes_per_second': 38.0, 'chunks_count': 1.0, 'attempt': 1}",12,863,500,8,8,0,200,69,100,1,0.021443951670000003
"{'delay': 1794.0, 'rssi': -18.0, 'snr': 7.5, 'time_over_air': 797.0, 'bytes_per_second': 11.0, 'chunks_count': 1.0, 'attempt': 1}",11,874,500,6,8,0,200,21,100,1,0.02718508
"{'delay': 507.0, 'rssi': -13.0, 'snr': 8.0, 'time_over_air': 186.0, 'bytes_per_second': 48.0, 'chunks_count': 1.0, 'attempt': 1}",7,878,500,7,5,0,200,18,80,1,0.03339573333
"{'delay': 92.0, 'rssi': -17.0, 'snr': 5.5, 'time_over_air': 15.0, 'bytes_per_second': 600.0, 'chunks_count': 1.0, 'attempt': 1}",12,881,125,5,9,0,200,35,100,1,0.017752416670000003
"{'delay': 4355.0, 'rssi': -11.0, 'snr': 9.0, 'time_over_air': 1876.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",12,864,500,8,3,0,200,90,80,1,0.01784713667
"{'delay': 4355.0, 'rssi': -16.0, 'snr': 9.0, 'time_over_air': 1876.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",11,866,125,7,3,0,200,99,80,1,0.01988975
"{'delay': 4645.0, 'rssi': -29.0, 'snr': 11.25, 'time_over_air': 2053.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",11,862,125,5,20,0,200,56,140,1,0.02038975
"{'delay': 4645.0, 'rssi': -30.0, 'snr': 11.75, 'time_over_air': 2053.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",7,867,250,8,5,0,200,92,80,1,0.03073845
"{'delay': 209.0, 'rssi': -26.0, 'snr': 9.5, 'time_over_air': 70.0, 'bytes_per_second': 128.0, 'chunks_count': 1.0, 'attempt': 1}",11,887,500,7,8,0,200,41,100,1,0.026522113330000003
"{'delay': 700.0, 'rssi': -16.0, 'snr': 8.25, 'time_over_air': 276.0, 'bytes_per_second': 32.0, 'chunks_count': 1.0, 'attempt': 1}",7,883,125,7,7,0,200,65,80,1,0.029815283329999998
"{'delay': 295.0, 'rssi': -18.0, 'snr': 9.5, 'time_over_air': 108.0, 'bytes_per_second': 83.0, 'chunks_count': 1.0, 'attempt': 1}",8,869,250,5,9,0,200,17,100,1,0.03446427667
"{'delay': 163.0, 'rssi': -13.0, 'snr': 12.25, 'time_over_air': 46.0, 'bytes_per_second': 195.0, 'chunks_count': 1.0, 'attempt': 1}",10,874,500,5,16,0,200,82,120,1,0.02278996667
"{'delay': 517.0, 'rssi': -7.0, 'snr': 7.5, 'time_over_air': 214.0, 'bytes_per_second': 42.0, 'chunks_count': 1.0, 'attempt': 1}",12,882,250,7,10,0,200,87,100,1,0.020280416670000002
"{'delay': 4139.0, 'rssi': -11.0, 'snr': 11.5, 'time_over_air': 1856.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",8,882,125,8,8,0,200,75,100,1,0.020530416670000003
"{'delay': 4139.0, 'rssi': -11.0, 'snr': 11.75, 'time_over_air': 1856.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",12,873,125,7,7,0,200,59,80,1,0.017110833330000002
"{'delay': 6386.0, 'rssi': -18.0, 'snr': 9.0, 'time_over_air': 2794.0, 'bytes_per_second': 3.0, 'chunks_count': 1.0, 'attempt': 1}",9,883,125,7,6,0,200,47,80,1,0.030565586670000002
"{'delay': 805.0, 'rssi': -19.0, 'snr': 12.5, 'time_over_air': 329.0, 'bytes_per_second': 27.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,125,8,13,0,200,66,100,1,0.029389756670000003
"{'delay': 308.0, 'rssi': -11.0, 'snr': 9.5, 'time_over_air': 113.0, 'bytes_per_second': 79.0, 'chunks_count': 1.0, 'attempt': 1}",11,869,250,7,13,0,200,28,100,1,0.026441350000000002
"{'delay': 1130.0, 'rssi': -12.0, 'snr': 10.75, 'time_over_air': 445.0, 'bytes_per_second': 20.0, 'chunks_count': 1.0, 'attempt': 1}",12,863,125,5,11,0,200,91,100,1,0.016752416670000003
"{'delay': 8025.0, 'rssi': -18.0, 'snr': 9.25, 'time_over_air': 3711.0, 'bytes_per_second': 2.0, 'chunks_count': 1.0, 'attempt': 1}",9,861,250,8,10,0,200,75,100,1,0.03276562
"{'delay': 564.0, 'rssi': -19.0, 'snr': 14.25, 'time_over_air': 228.0, 'bytes_per_second': 39.0, 'chunks_count': 1.0, 'attempt': 1}",8,877,500,6,11,0,200,22,100,1,0.03143484
"{'delay': 120.0, 'rssi': -11.0, 'snr': 7.25, 'time_over_air': 27.0, 'bytes_per_second': 333.0, 'chunks_count': 1.0, 'attempt': 1}",6,878,500,7,8,1,200,100,100,1,0.029762373330000005
"{'delay': 211.0, 'rssi': -10.0, 'snr': 3.25, 'time_over_air': 18.0, 'bytes_per_second': 500.0, 'chunks_count': 1.0, 'attempt': 1}",9,877,500,7,13,0,200,81,100,1,0.02530906
"{'delay': 313.0, 'rssi': -10.0, 'snr': 5.5, 'time_over_air': 117.0, 'bytes_per_second': 76.0, 'chunks_count': 1.0, 'attempt': 1}",6,861,125,8,12,1,200,13,100,1,0.031061216670000003
"{'delay': 638.0, 'rssi': -15.0, 'snr': 6.75, 'time_over_air': 26.0, 'bytes_per_second': 346.0, 'chunks_count': 1.0, 'attempt': 1}",8,882,250,6,6,0,200,61,80,1,0.03285837
"{'delay': 263.0, 'rssi': -19.0, 'snr': 12.25, 'time_over_air': 94.0, 'bytes_per_second': 95.0, 'chunks_count': 1.0, 'attempt': 1}",12,890,250,7,14,0,200,54,120,1,0.01866766667
"{'delay': 3058.0, 'rssi': -8.0, 'snr': 9.5, 'time_over_air': 1315.0, 'bytes_per_second': 6.0, 'chunks_count': 1.0, 'attempt': 1}",12,884,125,5,3,0,200,32,80,1,0.01869324333
"{'delay': 4159.0, 'rssi': -21.0, 'snr': 9.25, 'time_over_air': 1778.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 1}",8,885,500,7,6,0,200,29,80,1,0.01858116667
"{'delay': 4158.0, 'rssi': -20.0, 'snr': 9.75, 'time_over_air': 1778.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 2}",11,885,250,6,13,0,200,70,100,1,0.02196580667
"{'delay': 1761.0, 'rssi': -10.0, 'snr': 9.75, 'time_over_air': 773.0, 'bytes_per_second': 11.0, 'chunks_count': 1.0, 'attempt': 1}",8,869,125,5,8,0,200,7,100,1,0.03287158833
"{'delay': 230.0, 'rssi': -18.0, 'snr': 11.75, 'time_over_air': 71.0, 'bytes_per_second': 126.0, 'chunks_count': 1.0, 'attempt': 1}",9,890,500,7,3,0,200,94,80,1,0.02837115333
"{'delay': 340.0, 'rssi': -20.0, 'snr': 8.25, 'time_over_air': 131.0, 'bytes_per_second': 68.0, 'chunks_count': 1.0, 'attempt': 1}",7,887,125,7,3,0,200,90,80,1,0.029839980000000002
"{'delay': 346.0, 'rssi': -22.0, 'snr': 9.75, 'time_over_air': 134.0, 'bytes_per_second': 67.0, 'chunks_count': 1.0, 'attempt': 1}",9,863,125,8,13,0,200,52,100,1,0.02735074333
"{'delay': 887.0, 'rssi': -18.0, 'snr': 10.75, 'time_over_air': 362.0, 'bytes_per_second': 24.0, 'chunks_count': 1.0, 'attempt': 1}",11,868,125,7,8,0,200,12,100,1,0.03052501833
"{'delay': 1795.0, 'rssi': -20.0, 'snr': 15.25, 'time_over_air': 627.0, 'bytes_per_second': 14.0, 'chunks_count': 1.0, 'attempt': 1}",8,860,500,7,11,0,200,23,100,1,0.03085951333
"{'delay': 126.0, 'rssi': -19.0, 'snr': 7.0, 'time_over_air': 29.0, 'bytes_per_second': 310.0, 'chunks_count': 1.0, 'attempt': 1}",9,882,500,7,11,0,200,38,100,1,0.028458326670000002
"{'delay': 226.0, 'rssi': -11.0, 'snr': 7.5, 'time_over_air': 73.0, 'bytes_per_second': 123.0, 'chunks_count': 1.0, 'attempt': 1}",7,864,500,7,8,0,200,90,100,1,0.028751020000000002
"{'delay': 129.0, 'rssi': -21.0, 'snr': 5.5, 'time_over_air': 34.0, 'bytes_per_second': 264.0, 'chunks_count': 1.0, 'attempt': 1}",10,863,250,8,7,0,200,13,80,1,0.03346518333
"{'delay': 499.0, 'rssi': -24.0, 'snr': 14.0, 'time_over_air': 169.0, 'bytes_per_second': 53.0, 'chunks_count': 1.0, 'attempt': 1}",8,862,500,5,11,0,200,98,100,1,0.028233633330000004
"{'delay': 194.0, 'rssi': -19.0, 'snr': 7.0, 'time_over_air': 65.0, 'bytes_per_second': 138.0, 'chunks_count': 1.0, 'attempt': 1}",8,880,250,8,7,0,200,37,80,1,0.03351431667
"{'delay': 233.0, 'rssi': -19.0, 'snr': 12.5, 'time_over_air': 76.0, 'bytes_per_second': 118.0, 'chunks_count': 1.0, 'attempt': 1}",7,866,500,5,2,0,200,61,80,1,0.03011011667
"{'delay': 109.0, 'rssi': -26.0, 'snr': 5.25, 'time_over_air': 24.0, 'bytes_per_second': 375.0, 'chunks_count': 1.0, 'attempt': 1}",10,886,125,5,3,0,200,8,80,1,0.03298931
"{'delay': 687.0, 'rssi': -19.0, 'snr': 14.0, 'time_over_air': 248.0, 'bytes_per_second': 36.0, 'chunks_count': 1.0, 'attempt': 1}",7,874,500,5,5,0,200,87,80,1,0.029656860000000004
"{'delay': 122.0, 'rssi': -16.0, 'snr': 6.0, 'time_over_air': 31.0, 'bytes_per_second': 290.0, 'chunks_count': 1.0, 'attempt': 1}",12,875,500,5,3,0,200,43,80,1,0.024019283330000002
"{'delay': 1221.0, 'rssi': -17.0, 'snr': 7.0, 'time_over_air': 535.0, 'bytes_per_second': 16.0, 'chunks_count': 1.0, 'attempt': 1}",6,867,250,6,20,1,200,46,140,1,0.03240983333
"{'delay': 298.0, 'rssi': -12.0, 'snr': 7.25, 'time_over_air': 20.0, 'bytes_per_second': 449.0, 'chunks_count': 1.0, 'attempt': 1}",8,879,125,6,13,0,200,88,100,1,0.028247906670000003
"{'delay': 581.0, 'rssi': -11.0, 'snr': 10.25, 'time_over_air': 243.0, 'bytes_per_second': 37.0, 'chunks_count': 1.0, 'attempt': 1}",11,872,250,8,2,0,200,75,80,1,0.02935955
"{'delay': 1957.0, 'rssi': -24.0, 'snr': 14.0, 'time_over_air': 846.0, 'bytes_per_second': 10.0, 'chunks_count': 1.0, 'attempt': 1}",9,866,500,8,14,0,200,94,120,1,0.02512368
"{'delay': 349.0, 'rssi': -17.0, 'snr': 6.25, 'time_over_air': 134.0, 'bytes_per_second': 67.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,250,7,13,0,200,9,100,1,0.034091680000000006
"{'delay': 118.0, 'rssi': -10.0, 'snr': 9.75, 'time_over_air': 26.0, 'bytes_per_second': 346.0, 'chunks_count': 1.0, 'attempt': 1}",6,888,250,7,15,1,200,45,120,1,0.031766643330000004
"{'delay': 331.0, 'rssi': -6.0, 'snr': 6.5, 'time_over_air': 21.0, 'bytes_per_second': 428.0, 'chunks_count': 1.0, 'attempt': 1}",10,868,250,7,9,0,200,17,100,1,0.03343473
"{'delay': 503.0, 'rssi': -16.0, 'snr': 14.25, 'time_over_air': 178.0, 'bytes_per_second': 50.0, 'chunks_count': 1.0, 'attempt': 1}",10,877,125,6,8,0,200,82,100,1,0.027105005
"{'delay': 1957.0, 'rssi': -17.0, 'snr': 13.75, 'time_over_air': 871.0, 'bytes_per_second': 10.0, 'chunks_count': 1.0, 'attempt': 1}",6,882,500,7,13,1,200,36,100,1,0.03697645333
"{'delay': 195.0, 'rssi': -2.0, 'snr': 3.75, 'time_over_air': 9.0, 'bytes_per_second': 1000.0, 'chunks_count': 1.0, 'attempt': 1}",8,882,125,6,8,0,200,99,100,1,0.030625241669999997
"{'delay': 625.0, 'rssi': -16.0, 'snr': 12.25, 'time_over_air': 265.0, 'bytes_per_second': 33.0, 'chunks_count': 1.0, 'attempt': 1}",6,878,500,8,13,1,200,40,100,1,0.03536821667
"{'delay': 213.0, 'rssi': -2.0, 'snr': 3.5, 'time_over_air': 10.0, 'bytes_per_second': 899.0, 'chunks_count': 1.0, 'attempt': 1}",12,877,500,5,2,0,200,45,80,1,0.025105883330000002
"{'delay': 1254.0, 'rssi': -18.0, 'snr': 8.0, 'time_over_air': 551.0, 'bytes_per_second': 16.0, 'chunks_count': 1.0, 'attempt': 1}",11,877,125,8,7,0,200,10,80,1,0.03082996667
"{'delay': 1860.0, 'rssi': -19.0, 'snr': 15.25, 'time_over_air': 627.0, 'bytes_per_second': 14.0, 'chunks_count': 1.0, 'attempt': 1}",6,890,125,7,6,1,200,11,80,1,0.03201045667
"{'delay': 566.0, 'rssi': -16.0, 'snr': 7.0, 'time_over_air': 23.0, 'bytes_per_second': 391.0, 'chunks_count': 1.0, 'attempt': 1}",11,860,500,8,10,0,200,97,100,1,0.02396506
"{'delay': 1187.0, 'rssi': -19.0, 'snr': 8.25, 'time_over_air': 514.0, 'bytes_per_second': 17.0, 'chunks_count': 1.0, 'attempt': 1}",11,890,250,6,3,0,200,92,80,1,0.025684910000000002
"{'delay': 2121.0, 'rssi': -19.0, 'snr': 11.25, 'time_over_air': 953.0, 'bytes_per_second': 9.0, 'chunks_count': 1.0, 'attempt': 1}",8,869,125,5,13,0,200,35,100,1,0.031115623329999998
"{'delay': 345.0, 'rssi': -11.0, 'snr': 11.5, 'time_over_air': 128.0, 'bytes_per_second': 70.0, 'chunks_count': 1.0, 'attempt': 1}",11,878,250,5,4,0,200,28,80,1,0.028177096670000002
"{'delay': 1027.0, 'rssi': -18.0, 'snr': 10.5, 'time_over_air': 412.0, 'bytes_per_second': 21.0, 'chunks_count': 1.0, 'attempt': 1}",12,877,500,7,13,0,200,29,100,1,0.02135079
"{'delay': 1090.0, 'rssi': -7.0, 'snr': 5.75, 'time_over_air': 453.0, 'bytes_per_second': 19.0, 'chunks_count': 1.0, 'attempt': 1}",12,888,250,6,6,0,200,88,80,1,0.02054525
"{'delay': 4057.0, 'rssi': -16.0, 'snr': 11.75, 'time_over_air': 1840.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",12,881,250,6,16,0,200,17,120,1,0.02079525
"{'delay': 4057.0, 'rssi': -16.0, 'snr': 12.0, 'time_over_air': 1840.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",9,881,250,7,11,0,200,53,100,1,0.03277150667
"{'delay': 456.0, 'rssi': -9.0, 'snr': 13.75, 'time_over_air': 177.0, 'bytes_per_second': 50.0, 'chunks_count': 1.0, 'attempt': 1}",10,889,125,6,3,0,200,32,80,1,0.029494003330000004
"{'delay': 1137.0, 'rssi': -18.0, 'snr': 12.0, 'time_over_air': 461.0, 'bytes_per_second': 19.0, 'chunks_count': 1.0, 'attempt': 1}",7,872,500,8,9,0,200,88,100,1,0.02873410667
"{'delay': 130.0, 'rssi': -9.0, 'snr': 5.5, 'time_over_air': 34.0, 'bytes_per_second': 264.0, 'chunks_count': 1.0, 'attempt': 1}",8,860,250,7,14,0,200,29,120,1,0.03314869667
"{'delay': 207.0, 'rssi': -17.0, 'snr': 12.25, 'time_over_air': 64.0, 'bytes_per_second': 140.0, 'chunks_count': 1.0, 'attempt': 1}",10,868,125,8,4,0,200,92,80,1,0.025159206670000003
"{'delay': 2236.0, 'rssi': -20.0, 'snr': 11.25, 'time_over_air': 986.0, 'bytes_per_second': 9.0, 'chunks_count': 1.0, 'attempt': 1}",8,860,125,5,12,0,200,96,100,1,0.02849460833
"{'delay': 595.0, 'rssi': -17.0, 'snr': 10.5, 'time_over_air': 253.0, 'bytes_per_second': 35.0, 'chunks_count': 1.0, 'attempt': 1}",7,863,250,6,14,0,200,83,120,1,0.03099657333
"{'delay': 189.0, 'rssi': -15.0, 'snr': 10.0, 'time_over_air': 62.0, 'bytes_per_second': 145.0, 'chunks_count': 1.0, 'attempt': 1}",10,880,250,8,3,0,200,35,80,1,0.02889395
"{'delay': 679.0, 'rssi': -20.0, 'snr': 10.0, 'time_over_air': 260.0, 'bytes_per_second': 34.0, 'chunks_count': 1.0, 'attempt': 1}",12,884,250,8,13,0,200,97,100,1,0.018145083330000002
"{'delay': 4581.0, 'rssi': -8.0, 'snr': 9.5, 'time_over_air': 2053.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",11,879,250,7,10,0,200,33,100,1,0.017895083330000002
"{'delay': 4581.0, 'rssi': -8.0, 'snr': 9.25, 'time_over_air': 2053.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",11,890,125,6,12,0,200,93,100,1,0.01873258333
"{'delay': 4317.0, 'rssi': -9.0, 'snr': 10.0, 'time_over_air': 1922.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",12,866,250,7,16,0,200,80,120,1,0.01898258333
"{'delay': 4317.0, 'rssi': -9.0, 'snr': 10.25, 'time_over_air': 1922.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",8,861,500,6,9,0,200,42,100,1,0.02992900333
"{'delay': 140.0, 'rssi': -19.0, 'snr': 7.0, 'time_over_air': 37.0, 'bytes_per_second': 243.0, 'chunks_count': 1.0, 'attempt': 1}",6,874,500,8,2,1,200,70,80,1,0.032215283330000004
"{'delay': 221.0, 'rssi': -14.0, 'snr': 3.75, 'time_over_air': 14.0, 'bytes_per_second': 642.0, 'chunks_count': 1.0, 'attempt': 1}",10,888,125,8,7,0,200,97,80,1,0.026621883330000002
"{'delay': 2317.0, 'rssi': -16.0, 'snr': 14.0, 'time_over_air': 1027.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",10,862,250,8,6,0,200,90,80,1,0.03036246667
"{'delay': 1129.0, 'rssi': -23.0, 'snr': 13.5, 'time_over_air': 485.0, 'bytes_per_second': 18.0, 'chunks_count': 1.0, 'attempt': 1}",7,876,250,5,13,0,200,50,100,1,0.03284124
"{'delay': 149.0, 'rssi': -7.0, 'snr': 10.5, 'time_over_air': 43.0, 'bytes_per_second': 209.0, 'chunks_count': 1.0, 'attempt': 1}",12,880,250,5,11,0,200,39,100,1,0.02304568
"{'delay': 2336.0, 'rssi': -9.0, 'snr': 12.25, 'time_over_air': 1004.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",7,878,250,8,3,0,200,72,80,1,0.03113753333
"{'delay': 188.0, 'rssi': -20.0, 'snr': 9.5, 'time_over_air': 60.0, 'bytes_per_second': 150.0, 'chunks_count': 1.0, 'attempt': 1}",9,862,500,6,13,0,200,80,100,1,0.02639025667
"{'delay': 302.0, 'rssi': -17.0, 'snr': 6.5, 'time_over_air': 113.0, 'bytes_per_second': 79.0, 'chunks_count': 1.0, 'attempt': 1}",6,883,125,5,10,1,200,29,100,1,0.030597035
"{'delay': 448.0, 'rssi': -9.0, 'snr': 6.75, 'time_over_air': 29.0, 'bytes_per_second': 310.0, 'chunks_count': 1.0, 'attempt': 1}",10,875,125,8,14,0,200,28,120,1,0.024556261670000003
"{'delay': 1187.0, 'rssi': -9.0, 'snr': 11.25, 'time_over_air': 461.0, 'bytes_per_second': 19.0, 'chunks_count': 1.0, 'attempt': 1}",12,866,250,8,16,0,200,8,120,1,0.02101425
"{'delay': 1665.0, 'rssi': -15.0, 'snr': 11.25, 'time_over_air': 594.0, 'bytes_per_second': 15.0, 'chunks_count': 1.0, 'attempt': 1}",11,871,125,8,12,0,200,85,100,1,0.018515583329999998
"{'delay': 4317.0, 'rssi': -12.0, 'snr': 9.75, 'time_over_air': 1856.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",12,876,125,6,4,0,200,84,80,1,0.018515583329999998
"{'delay': 4317.0, 'rssi': -12.0, 'snr': 9.75, 'time_over_air': 1856.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",7,878,250,7,16,0,200,19,120,1,0.03284874167
"{'delay': 129.0, 'rssi': -8.0, 'snr': 9.75, 'time_over_air': 31.0, 'bytes_per_second': 290.0, 'chunks_count': 1.0, 'attempt': 1}",11,881,500,7,16,0,200,9,120,1,0.025248625000000004
"{'delay': 437.0, 'rssi': -8.0, 'snr': 8.0, 'time_over_air': 145.0, 'bytes_per_second': 62.0, 'chunks_count': 1.0, 'attempt': 1}",11,873,250,7,13,0,200,92,100,1,0.02068058667
