state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 480.0, 'rssi': -20.0, 'snr': 14.25, 'time_over_air': 189.0, 'bytes_per_second': 47.0, 'chunks_count': 1.0, 'attempt': 1}",7,877,125,8,9,0,200,81,100,1,0.02934814
"{'delay': 339.0, 'rssi': -19.0, 'snr': 9.5, 'time_over_air': 129.0, 'bytes_per_second': 69.0, 'chunks_count': 1.0, 'attempt': 1}",9,860,125,6,6,0,200,17,80,1,0.03300637
"{'delay': 523.0, 'rssi': -28.0, 'snr': 13.75, 'time_over_air': 194.0, 'bytes_per_second': 46.0, 'chunks_count': 1.0, 'attempt': 1}",6,881,500,7,7,1,200,15,80,1,0.04081788333
"{'delay': 189.0, 'rssi': -15.0, 'snr': 3.75, 'time_over_air': 7.0, 'bytes_per_second': 1285.0, 'chunks_count': 1.0, 'attempt': 1}",11,886,250,5,6,0,200,41,80,1,0.030610703330000003
"{'delay': 1228.0, 'rssi': -19.0, 'snr': 14.0, 'time_over_air': 519.0, 'bytes_per_second': 17.0, 'chunks_count': 1.0, 'attempt': 1}",10,872,250,6,15,0,200,8,120,1,0.03274779667
"{'delay': 401.0, 'rssi': -9.0, 'snr': 14.5, 'time_over_air': 133.0, 'bytes_per_second': 67.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,250,7,6,0,200,11,80,1,0.03399721
"{'delay': 120.0, 'rssi': -21.0, 'snr': 9.75, 'time_over_air': 27.0, 'bytes_per_second': 333.0, 'chunks_count': 1.0, 'attempt': 1}",8,882,250,7,2,0,200,18,80,1,0.033699150000000004
"{'delay': 184.0, 'rssi': -24.0, 'snr': 11.75, 'time_over_air': 53.0, 'bytes_per_second': 169.0, 'chunks_count': 1.0, 'attempt': 1}",9,874,500,8,12,0,200,71,100,1,0.027501583330000003
"{'delay': 302.0, 'rssi': -13.0, 'snr': 7.5, 'time_over_air': 110.0, 'bytes_per_second': 81.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,250,8,8,0,200,39,100,1,0.032197248330000004
"{'delay': 154.0, 'rssi': -19.0, 'snr': 9.75, 'time_over_air': 43.0, 'bytes_per_second': 209.0, 'chunks_count': 1.0, 'attempt': 1}",12,863,250,7,2,0,200,94,80,1,0.02019738333
