iteration,reward,timestamp,epsilon
1,0.3185376833,2025-10-03 15:43:12.171546,0.9
2,0.2842102833,2025-10-03 15:43:15.249601,0.8955
3,0.2654998333,2025-10-03 15:43:18.243184,0.8910224999999999
4,0.3149104333,2025-10-03 15:43:20.983577,0.8865673875
5,0.3401551,2025-10-03 15:43:22.061135,0.8821345505625
6,0.3336382667,2025-10-03 15:43:22.860193,0.8777238778096875
7,0.3215797,2025-10-03 15:43:23.403998,0.8733352584206391
8,0.3167874667,2025-10-03 15:43:25.426570,0.8689685821285359
9,0.1442333333,2025-10-03 15:43:32.015932,0.8646237392178933
10,0.3331268333,2025-10-03 15:43:36.165906,0.8603006205218038
11,0.1930258333,2025-10-03 15:43:40.738623,0.8559991174191948
12,0.3094308333,2025-10-03 15:43:45.796484,0.8517191218320987
13,0.3289830667,2025-10-03 15:43:48.245886,0.8474605262229382
14,0.3451559333,2025-10-03 15:43:49.578011,0.8432232235918236
15,0.3025296667,2025-10-03 15:43:51.297113,0.8390071074738644
16,0.2264315333,2025-10-03 15:43:54.606822,0.8348120719364951
17,0.3330865333,2025-10-03 15:43:57.968180,0.8306380115768126
18,0.277206,2025-10-03 15:44:00.202879,0.8264848215189285
19,0.1753116667,2025-10-03 15:44:20.891599,0.8223523974113339
20,0.3401559333,2025-10-03 15:44:37.323319,0.8182406354242773
21,0.3401551,2025-10-03 15:44:38.009228,0.8141494322471559
22,0.3426559333,2025-10-03 15:44:38.693287,0.8100786850859201
23,0.1924558333,2025-10-03 15:44:44.332620,0.8060282916604905
24,0.202575,2025-10-03 15:45:00.717626,0.801998150202188
25,0.187575,2025-10-03 15:45:20.643392,0.7979881594511771
26,0.3234957667,2025-10-03 15:45:35.565037,0.7939982186539212
27,0.2635664667,2025-10-03 15:45:41.758481,0.7900282275606516
28,0.3276718333,2025-10-03 15:45:42.509919,0.7860780864228484
29,0.3362829,2025-10-03 15:45:43.594514,0.7821476959907341
30,0.2801377,2025-10-03 15:45:44.841534,0.7782369575107804
31,0.2239458333,2025-10-03 15:45:50.741247,0.7743457727232265
32,0.2808123333,2025-10-03 15:45:55.599839,0.7704740438596104
33,0.3053995667,2025-10-03 15:45:56.722915,0.7666216736403123
34,0.3088539667,2025-10-03 15:45:57.652239,0.7627885652721107
35,0.1601566667,2025-10-03 15:46:15.594559,0.7589746224457501
36,0.2256570833,2025-10-03 15:46:32.447477,0.7551797493335214
37,0.2752892333,2025-10-03 15:46:36.045338,0.7514038505868538
38,0.3143028333,2025-10-03 15:46:36.988022,0.7476468313339195
39,0.2443373,2025-10-03 15:46:38.603397,0.7439085971772499
40,0.2381466667,2025-10-03 15:46:48.526764,0.7401890541913636
41,0.2306466667,2025-10-03 15:47:17.824673,0.7364881089204068
42,0.3376559333,2025-10-03 15:47:24.664378,0.7328056683758049
43,0.3401551,2025-10-03 15:47:25.349432,0.7291416400339258
44,0.3401551,2025-10-03 15:47:26.034665,0.7254959318337562
45,0.19962,2025-10-03 15:47:35.491303,0.7218684521745874
46,0.19462,2025-10-03 15:48:05.202759,0.7182591099137144
47,0.3063663333,2025-10-03 15:48:12.324521,0.7146678143641458
48,0.3165428333,2025-10-03 15:48:13.411183,0.7110944752923251
49,0.2798875333,2025-10-03 15:48:18.576592,0.7075390029158635
50,0.3376559333,2025-10-03 15:48:22.579964,0.7040013079012841
51,0.3476559333,2025-10-03 15:48:23.263985,0.7004813013617777
52,0.3105741667,2025-10-03 15:48:24.154907,0.6969788948549688
53,0.3451551,2025-10-03 15:48:25.001313,0.693494000380694
54,0.3254158667,2025-10-03 15:48:26.815416,0.6900265303787905
55,0.3150826667,2025-10-03 15:48:28.900623,0.6865763977268965
56,0.2002000333,2025-10-03 15:48:30.731369,0.683143515738262
57,0.20003,2025-10-03 15:48:38.781464,0.6797277981595707
58,0.3167007667,2025-10-03 15:48:45.589641,0.6763291591687729
59,0.3476559333,2025-10-03 15:48:46.309363,0.672947513372929
60,0.2687771667,2025-10-03 15:48:50.845548,0.6695827758060644
61,0.3854135,2025-10-03 15:48:54.866934,0.6662348619270341
62,0.2870101,2025-10-03 15:48:55.578239,0.6629036876173989
63,0.3092935333,2025-10-03 15:48:57.166341,0.659589169179312
64,0.2819881667,2025-10-03 15:49:00.501981,0.6562912233334154
65,0.3854135,2025-10-03 15:49:03.939017,0.6530097672167483
66,0.3564438333,2025-10-03 15:49:04.698047,0.6497447183806646
67,0.3396726667,2025-10-03 15:49:05.794698,0.6464959947887613
68,0.2925231667,2025-10-03 15:49:06.954930,0.6432635148148175
69,0.3879135,2025-10-03 15:49:07.599886,0.6400471972407433
70,0.3879135,2025-10-03 15:49:08.226524,0.6368469612545397
71,0.3879135,2025-10-03 15:49:08.852642,0.6336627264482669
72,0.2359744167,2025-10-03 15:49:14.017950,0.6304944128160256
73,0.2989174667,2025-10-03 15:49:19.209688,0.6273419407519455
74,0.2846523333,2025-10-03 15:49:21.870425,0.6242052310481858
75,0.3324623667,2025-10-03 15:49:24.341108,0.6210842048929449
