SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.3932,103,0.5030
6,1,500,6,0.3407,45,0.5069
6,1,500,7,0.2994,30,0.5030
6,1,500,8,0.2719,23,0.5044
6,1,250,5,0.2425,19,0.4983
7,0,500,5,0.2328,17,0.5033
6,1,250,6,0.2272,16,0.5060
7,0,500,6,0.2064,14,0.5044
6,1,250,7,0.2033,14,0.5013
7,0,500,7,0.1848,12,0.5067
7,0,250,5,0.1822,12,0.5041
6,1,125,5,0.1820,12,0.5039
7,0,500,8,0.1806,12,0.5025
7,0,250,6,0.1797,12,0.5015
6,1,250,8,0.1767,12,0.4986
8,0,500,5,0.1747,12,0.4966
7,0,125,6,0.1739,12,0.5071
8,0,500,6,0.1721,12,0.4939
7,0,125,5,0.1706,12,0.4925
8,0,250,5,0.1704,11,0.5066
6,1,125,6,0.1691,11,0.5053
8,0,125,5,0.1690,11,0.5052
7,0,250,7,0.1688,11,0.5050
8,0,125,6,0.1656,11,0.5018
8,0,125,7,0.1643,11,0.5006
6,1,125,8,0.1621,11,0.4983
7,0,125,7,0.1606,11,0.4969
6,1,125,7,0.1600,11,0.4962
8,0,250,7,0.1552,11,0.4914
8,0,125,8,0.1552,11,0.4914
10,0,125,5,0.1551,11,0.4913
9,0,125,7,0.1541,10,0.5067
8,0,250,6,0.1528,10,0.5054
9,0,125,5,0.1526,10,0.5052
9,0,125,6,0.1525,10,0.5051
8,0,500,7,0.1523,10,0.5049
9,0,125,8,0.1508,10,0.5035
7,0,250,8,0.1504,11,0.4866
9,0,250,5,0.1449,10,0.4975
7,0,125,8,0.1448,10,0.4974
8,0,250,8,0.1430,10,0.4956
10,0,125,8,0.1424,10,0.4951
8,0,500,8,0.1389,10,0.4915
10,0,125,7,0.1376,10,0.4903
9,0,250,7,0.1375,10,0.4901
9,0,250,6,0.1354,10,0.4880
10,0,250,5,0.1353,10,0.4879
9,0,500,6,0.1350,10,0.4876
10,0,250,6,0.1330,9,0.5047
10,0,125,6,0.1321,9,0.5038
9,0,500,7,0.1320,9,0.5037
9,0,500,5,0.1312,9,0.5029
9,0,250,8,0.1307,9,0.5024
10,0,250,7,0.1293,9,0.5010
11,0,125,6,0.1278,9,0.4995
9,0,500,8,0.1263,9,0.4980
11,0,125,5,0.1235,9,0.4952
10,0,250,8,0.1198,9,0.4915
11,0,250,5,0.1173,9,0.4890
10,0,500,7,0.1163,9,0.4880
10,0,500,5,0.1139,9,0.4856
11,0,125,8,0.1136,9,0.4853
10,0,500,8,0.1111,9,0.4828
11,0,125,7,0.1104,8,0.5046
11,0,250,6,0.1078,8,0.5021
11,0,250,7,0.1070,8,0.5013
10,0,500,6,0.1065,8,0.5007
12,0,125,5,0.1063,8,0.5005
11,0,500,7,0.0985,8,0.4927
12,0,250,5,0.0978,8,0.4920
11,0,500,5,0.0939,8,0.4882
12,0,125,6,0.0938,8,0.4880
12,0,250,6,0.0913,8,0.4856
11,0,500,6,0.0898,8,0.4841
12,0,125,7,0.0885,8,0.4827
12,0,125,8,0.0855,8,0.4798
11,0,250,8,0.0854,7,0.5069
12,0,250,8,0.0850,7,0.5065
12,0,500,6,0.0849,7,0.5063
11,0,500,8,0.0836,8,0.4779
12,0,250,7,0.0805,7,0.5020
12,0,500,5,0.0785,7,0.4999
12,0,500,8,0.0714,7,0.4929
12,0,500,7,0.0704,7,0.4919
