iteration,reward,timestamp
1,0.3413,2025-10-26 18:41:53
2,0.3388,2025-10-26 18:41:55
3,0.3388,2025-10-26 18:41:58
4,0.3388,2025-10-26 18:42:01
5,0.3363,2025-10-26 18:42:03
6,0.3413,2025-10-26 18:42:06
7,0.3388,2025-10-26 18:42:09
8,0.3388,2025-10-26 18:42:11
9,0.3413,2025-10-26 18:42:22
10,0.3388,2025-10-26 18:42:25
11,0.3388,2025-10-26 18:42:28
12,0.3413,2025-10-26 18:42:30
13,0.3413,2025-10-26 18:42:33
14,0.3413,2025-10-26 18:42:36
15,0.3388,2025-10-26 18:42:38
16,0.3388,2025-10-26 18:42:41
17,0.3388,2025-10-26 18:42:44
18,0.3388,2025-10-26 18:42:46
19,0.3438,2025-10-26 18:42:49
20,0.3413,2025-10-26 18:42:51
21,0.3413,2025-10-26 18:42:54
22,0.3413,2025-10-26 18:42:57
23,0.3388,2025-10-26 18:42:59
24,0.3388,2025-10-26 18:43:02
25,0.3388,2025-10-26 18:43:05
26,0.3413,2025-10-26 18:43:07
27,0.3413,2025-10-26 18:43:10
28,0.3388,2025-10-26 18:43:12
29,0.3413,2025-10-26 18:43:15
30,0.3388,2025-10-26 18:43:18
31,0.3388,2025-10-26 18:43:20
32,0.3388,2025-10-26 18:43:23
33,0.3388,2025-10-26 18:43:26
34,0.3388,2025-10-26 18:43:28
35,0.3363,2025-10-26 18:43:31
36,0.3363,2025-10-26 18:43:34
37,0.3438,2025-10-26 18:43:36
38,0.3388,2025-10-26 18:43:39
39,0.3413,2025-10-26 18:43:41
40,0.3388,2025-10-26 18:43:44
41,0.3388,2025-10-26 18:43:47
42,0.3413,2025-10-26 18:43:49
43,0.3388,2025-10-26 18:43:52
44,0.3363,2025-10-26 18:43:55
45,0.3413,2025-10-26 18:43:57
46,0.3413,2025-10-26 18:44:00
47,0.3388,2025-10-26 18:44:02
48,0.3388,2025-10-26 18:44:05
49,0.3388,2025-10-26 18:44:08
50,0.3338,2025-10-26 18:44:10
51,0.3413,2025-10-26 18:44:13
52,0.3438,2025-10-26 18:44:16
53,0.3438,2025-10-26 18:44:18
54,0.3413,2025-10-26 18:44:21
55,0.3413,2025-10-26 18:44:23
56,0.3438,2025-10-26 18:44:26
57,0.3413,2025-10-26 18:44:29
58,0.3388,2025-10-26 18:44:31
59,0.3363,2025-10-26 18:44:34
60,0.3388,2025-10-26 18:44:37
61,0.3388,2025-10-26 18:44:39
62,0.3388,2025-10-26 18:44:42
63,0.3363,2025-10-26 18:44:45
64,0.3413,2025-10-26 18:44:47
65,0.3438,2025-10-26 18:44:50
