SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
9.0,863,500.0,8.0,16,0.0,200,21,120,1,11,0.4457
8.0,860,500.0,5.0,6,0.0,200,90,80,1,1,0.4433
7.0,863,125.0,7.0,16,0.0,200,21,120,1,10,0.4432
9.0,870,500.0,8.0,11,0.0,200,29,100,1,1,0.4426
7.0,887,125.0,5.0,17,0.0,200,42,120,1,1,0.4382
10.0,862,500.0,5.0,20,0.0,200,14,140,1,1,0.4286
9.0,885,500.0,5.0,16,0.0,200,50,120,1,1,0.4266
9.0,863,250.0,5.0,16,0.0,200,21,120,1,7,0.4200
7.0,876,250.0,5.0,6,0.0,200,81,80,1,1,0.4186
6.0,871,125.0,8.0,15,1.0,200,89,120,1,1,0.4156
8.0,887,125.0,6.0,8,0.0,200,8,100,1,1,0.4144
8.0,860,500.0,7.0,8,0.0,200,99,100,1,1,0.4097
9.0,862,250.0,5.0,17,0.0,200,26,120,1,1,0.4073
9.0,866,500.0,7.0,8,0.0,200,44,100,1,1,0.4064
9.0,863,250.0,6.0,16,0.0,200,21,120,1,12,0.4040
8.0,863,125.0,5.0,16,0.0,200,21,120,1,8,0.4024
9.0,868,500.0,7.0,20,0.0,200,66,140,1,1,0.4007
10.0,863,500.0,7.0,16,0.0,200,21,120,1,9,0.3977
8.0,863,125.0,6.0,16,0.0,200,21,120,1,7,0.3928
7.0,863,125.0,8.0,16,0.0,200,21,120,1,11,0.3926
10.0,863,500.0,6.0,16,0.0,200,21,120,1,11,0.3904
7.0,865,125.0,5.0,4,0.0,200,43,80,1,1,0.3877
9.0,864,500.0,6.0,11,0.0,200,58,100,1,1,0.3856
7.0,876,125.0,5.0,2,0.0,200,47,80,1,1,0.3822
7.0,867,125.0,6.0,9,0.0,200,70,100,1,1,0.3808
7.0,874,125.0,5.0,9,0.0,200,58,100,1,1,0.3772
9.0,878,250.0,7.0,10,0.0,200,17,100,1,1,0.3758
8.0,872,125.0,8.0,20,0.0,200,22,140,1,1,0.3721
10.0,863,500.0,5.0,16,0.0,200,21,120,1,12,0.3709
7.0,875,125.0,5.0,15,0.0,200,76,120,1,1,0.3695
7.0,886,125.0,7.0,13,0.0,200,65,100,1,1,0.3677
9.0,863,250.0,7.0,16,0.0,200,21,120,1,11,0.3671
7.0,872,125.0,5.0,15,0.0,200,94,120,1,1,0.3665
8.0,863,125.0,8.0,16,0.0,200,21,120,1,13,0.3663
7.0,872,125.0,5.0,9,0.0,200,54,100,1,1,0.3636
9.0,863,250.0,8.0,16,0.0,200,21,120,1,10,0.3625
11.0,863,500.0,5.0,16,0.0,200,21,120,1,10,0.3558
8.0,877,250.0,8.0,20,0.0,200,87,140,1,1,0.3550
8.0,889,125.0,5.0,15,0.0,200,43,120,1,1,0.3508
8.0,885,250.0,5.0,8,0.0,200,80,100,1,1,0.3506
8.0,883,250.0,7.0,4,0.0,200,63,80,1,1,0.3483
8.0,863,125.0,7.0,16,0.0,200,21,120,1,8,0.3475
9.0,862,500.0,7.0,15,0.0,200,69,120,1,1,0.3471
9.0,885,500.0,6.0,17,0.0,200,94,120,1,1,0.3451
9.0,868,500.0,8.0,15,0.0,200,72,120,1,1,0.3436
8.0,879,125.0,7.0,14,0.0,200,32,120,1,1,0.3352
7.0,874,125.0,8.0,9,0.0,200,58,100,1,1,0.3303
9.0,863,125.0,5.0,16,0.0,200,21,120,1,7,0.3290
8.0,865,125.0,7.0,20,0.0,200,14,140,1,1,0.3287
11.0,871,500.0,5.0,3,0.0,200,18,80,1,1,0.3254
7.0,887,125.0,5.0,5,0.0,200,99,80,1,1,0.3251
7.0,884,125.0,7.0,10,0.0,200,81,100,1,1,0.3250
10.0,863,250.0,5.0,16,0.0,200,21,120,1,9,0.3216
9.0,890,125.0,6.0,16,0.0,200,15,120,1,1,0.3210
10.0,863,500.0,8.0,16,0.0,200,21,120,1,10,0.3208
10.0,863,250.0,7.0,16,0.0,200,21,120,1,8,0.3167
11.0,863,500.0,6.0,16,0.0,200,21,120,1,10,0.3165
11.0,889,250.0,5.0,9,0.0,200,19,100,1,1,0.3113
11.0,863,500.0,8.0,16,0.0,200,21,120,1,7,0.3103
7.0,866,125.0,7.0,2,0.0,200,80,80,1,1,0.3102
11.0,863,250.0,5.0,16,0.0,200,21,120,1,14,0.3078
8.0,874,125.0,8.0,20,0.0,200,59,140,1,1,0.3045
11.0,875,500.0,8.0,10,0.0,200,7,100,1,1,0.3033
11.0,863,500.0,7.0,16,0.0,200,21,120,1,10,0.3029
10.0,887,250.0,8.0,4,0.0,200,9,80,1,1,0.3019
10.0,863,125.0,5.0,16,0.0,200,21,120,1,5,0.3014
9.0,861,125.0,6.0,16,0.0,200,19,120,1,1,0.3014
9.0,863,125.0,8.0,16,0.0,200,21,120,1,6,0.3013
11.0,863,500.0,8.0,8,0.0,200,45,100,1,1,0.2989
9.0,882,250.0,7.0,6,0.0,200,50,80,1,1,0.2967
11.0,886,500.0,5.0,6,0.0,200,55,80,1,1,0.2965
10.0,860,500.0,6.0,2,0.0,200,42,80,1,1,0.2954
10.0,863,250.0,8.0,16,0.0,200,21,120,1,5,0.2940
12.0,873,500.0,8.0,14,0.0,200,16,120,1,1,0.2922
8.0,889,125.0,7.0,12,0.0,200,76,100,1,1,0.2911
9.0,877,500.0,8.0,10,0.0,200,99,100,1,1,0.2885
7.0,886,125.0,8.0,4,0.0,200,69,80,1,1,0.2870
11.0,877,500.0,6.0,6,0.0,200,14,80,1,1,0.2870
11.0,881,250.0,6.0,20,0.0,200,24,140,1,1,0.2864
10.0,862,250.0,7.0,11,0.0,200,36,100,1,1,0.2861
10.0,863,125.0,8.0,16,0.0,200,21,120,1,19,0.2861
12.0,863,500.0,5.0,16,0.0,200,21,120,1,6,0.2860
9.0,872,500.0,8.0,4,0.0,200,93,80,1,1,0.2860
10.0,882,500.0,8.0,7,0.0,200,88,80,1,1,0.2846
8.0,869,125.0,6.0,20,0.0,200,88,140,1,1,0.2845
9.0,863,125.0,6.0,16,0.0,200,21,120,1,8,0.2840
10.0,877,250.0,8.0,11,0.0,200,20,100,1,1,0.2836
9.0,863,125.0,7.0,16,0.0,200,21,120,1,13,0.2824
10.0,884,250.0,8.0,11,0.0,200,17,100,1,1,0.2818
11.0,863,250.0,6.0,16,0.0,200,21,120,1,9,0.2817
9.0,875,250.0,7.0,9,0.0,200,96,100,1,1,0.2806
8.0,865,125.0,7.0,12,0.0,200,66,100,1,1,0.2798
10.0,863,250.0,6.0,16,0.0,200,21,120,1,11,0.2792
9.0,881,125.0,7.0,15,0.0,200,29,120,1,1,0.2773
12.0,863,250.0,5.0,16,0.0,200,21,120,1,10,0.2772
10.0,870,500.0,8.0,13,0.0,200,79,100,1,1,0.2761
11.0,863,125.0,5.0,16,0.0,200,21,120,1,9,0.2756
11.0,888,250.0,6.0,17,0.0,200,29,120,1,1,0.2752
11.0,863,250.0,8.0,16,0.0,200,21,120,1,10,0.2745
9.0,863,125.0,7.0,17,0.0,200,39,120,1,1,0.2740
11.0,863,250.0,7.0,16,0.0,200,21,120,1,9,0.2736
10.0,877,250.0,6.0,11,0.0,200,51,100,1,1,0.2728
11.0,887,250.0,7.0,13,0.0,200,50,100,1,1,0.2725
10.0,863,125.0,6.0,16,0.0,200,21,120,1,11,0.2714
9.0,865,125.0,7.0,11,0.0,200,30,100,1,1,0.2693
9.0,874,125.0,8.0,15,0.0,200,59,120,1,1,0.2683
10.0,872,500.0,6.0,16,0.0,200,100,120,1,1,0.2676
10.0,874,125.0,5.0,16,0.0,200,59,120,1,1,0.2671
10.0,879,250.0,8.0,4,0.0,200,12,80,1,1,0.2663
12.0,863,500.0,7.0,16,0.0,200,21,120,1,12,0.2659
10.0,889,125.0,6.0,11,0.0,200,30,100,1,1,0.2656
11.0,870,500.0,5.0,15,0.0,200,64,120,1,1,0.2643
11.0,885,250.0,7.0,17,0.0,200,67,120,1,1,0.2641
11.0,863,125.0,6.0,16,0.0,200,21,120,1,11,0.2641
9.0,873,125.0,7.0,2,0.0,200,25,80,1,1,0.2640
11.0,870,500.0,8.0,14,0.0,200,75,120,1,1,0.2630
10.0,870,500.0,8.0,10,0.0,200,57,100,1,1,0.2618
10.0,888,125.0,6.0,15,0.0,200,32,120,1,1,0.2613
11,861,250,8,14,0,200,19,120,1,1,0.2609
11.0,863,125.0,8.0,16,0.0,200,21,120,1,11,0.2602
9.0,878,125.0,8.0,14,0.0,200,55,120,1,1,0.2596
12.0,863,500.0,6.0,16,0.0,200,21,120,1,9,0.2594
11.0,884,500.0,7.0,10,0.0,200,26,100,1,1,0.2589
11.0,860,125.0,6.0,2,0.0,200,13,80,1,1,0.2579
11.0,885,250.0,7.0,11,0.0,200,67,100,1,1,0.2579
10.0,879,250.0,6.0,12,0.0,200,77,100,1,1,0.2569
10.0,878,125.0,5.0,16,0.0,200,37,120,1,1,0.2565
10.0,871,500.0,8.0,6,0.0,200,70,80,1,1,0.2563
10.0,869,500.0,5.0,6,0.0,200,58,80,1,1,0.2548
11.0,870,125.0,6.0,17,0.0,200,11,120,1,1,0.2545
11.0,875,125.0,8.0,12,0.0,200,75,100,1,1,0.2533
12.0,877,250.0,7.0,13,0.0,200,44,100,1,1,0.2532
12.0,876,250.0,7.0,16,0.0,200,14,120,1,1,0.2517
12.0,863,500.0,8.0,16,0.0,200,21,120,1,8,0.2491
11.0,888,500.0,6.0,5,0.0,200,62,80,1,1,0.2489
12.0,886,500.0,6.0,17,0.0,200,70,120,1,1,0.2486
10.0,860,250.0,6.0,15,0.0,200,86,120,1,1,0.2480
12.0,880,500.0,8.0,15,0.0,200,88,120,1,1,0.2446
12.0,883,500.0,5.0,10,0.0,200,94,100,1,1,0.2444
12.0,863,250.0,8.0,16,0.0,200,21,120,1,10,0.2432
12.0,881,125.0,5.0,6,0.0,200,15,80,1,1,0.2431
12.0,872,250.0,7.0,6,0.0,200,59,80,1,1,0.2425
12.0,863,250.0,7.0,16,0.0,200,21,120,1,10,0.2408
10.0,863,125.0,7.0,16,0.0,200,21,120,1,14,0.2407
12.0,863,250.0,6.0,16,0.0,200,21,120,1,10,0.2395
11.0,870,250.0,7.0,4,0.0,200,93,80,1,1,0.2386
12.0,883,250.0,8.0,17,0.0,200,14,120,1,1,0.2363
12.0,886,500.0,7.0,14,0.0,200,66,120,1,1,0.2358
11.0,861,250.0,6.0,7,0.0,200,24,80,1,1,0.2336
11.0,872,250.0,5.0,4,0.0,200,19,80,1,1,0.2304
12.0,881,125.0,5.0,15,0.0,200,29,120,1,1,0.2304
12.0,873,250.0,7.0,12,0.0,200,68,100,1,1,0.2286
12.0,863,125.0,5.0,16,0.0,200,21,120,1,14,0.2279
12.0,871,500.0,6.0,4,0.0,200,31,80,1,1,0.2276
9.0,877,125.0,8.0,12,0.0,200,94,100,1,1,0.2273
9.0,882,125.0,6.0,7,0.0,200,72,80,1,1,0.2252
12.0,863,125.0,6.0,16,0.0,200,21,120,1,9,0.2251
11.0,863,125.0,7.0,16,0.0,200,21,120,1,9,0.2235
12.0,862,500.0,6.0,10,0.0,200,64,100,1,1,0.2225
12.0,880,250.0,7.0,10,0.0,200,87,100,1,1,0.2212
10.0,881,125.0,8.0,3,0.0,200,27,80,1,1,0.2211
10.0,874,125.0,7.0,9,0.0,200,58,100,1,1,0.2207
9.0,870,125.0,6.0,9,0.0,200,43,100,1,1,0.2191
11.0,860,125.0,5.0,12,0.0,200,72,100,1,1,0.2181
12.0,875,500.0,8.0,3,0.0,200,32,80,1,1,0.2165
12.0,877,250.0,7.0,9,0.0,200,43,100,1,1,0.2157
10.0,885,125.0,7.0,3,0.0,200,65,80,1,1,0.2121
10.0,869,250.0,7.0,10,0.0,200,97,100,1,1,0.2117
12.0,888,250.0,6.0,4,0.0,200,63,80,1,1,0.2108
10.0,883,125.0,6.0,9,0.0,200,78,100,1,1,0.2106
12.0,885,250.0,5.0,6,0.0,200,42,80,1,1,0.2076
12.0,884,125.0,6.0,15,0.0,200,78,120,1,1,0.2073
12.0,879,250.0,8.0,20,0.0,200,93,140,1,1,0.2051
12.0,863,125.0,7.0,16,0.0,200,21,120,1,12,0.2007
12.0,872,250.0,6.0,6,0.0,200,69,80,1,1,0.1999
10.0,888,125.0,7.0,4,0.0,200,37,80,1,1,0.1954
12.0,863,500.0,5.0,4,0.0,200,90,80,1,1,0.1934
12.0,863,125.0,8.0,16,0.0,200,21,120,1,6,0.1922
12.0,872,250.0,8.0,4,0.0,200,91,80,1,1,0.1902
12.0,867,125.0,5.0,3,0.0,200,67,80,1,1,0.1887
12.0,876,500.0,5.0,3,0.0,200,34,80,1,1,0.1688
