SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
10,876,500,6,13,0,200,29,100,1,1,0.2406
10,883,125,8,16,0,200,82,120,1,1,0.2405
10,875,500,5,12,0,200,61,100,1,1,0.2375
9,870,125,5,13,0,200,72,100,1,1,0.2372
11,869,250,7,20,0,200,44,140,1,1,0.2359
11,870,250,6,15,0,200,83,120,1,1,0.2357
10,867,500,8,12,0,200,88,100,1,1,0.2339
11,886,500,8,10,0,200,6,100,1,1,0.2336
11,881,250,8,8,0,200,92,100,1,1,0.2336
10,872,250,6,3,0,200,99,80,1,1,0.2335
11,867,250,5,15,0,200,44,120,1,1,0.2320
9,862,125,8,4,0,200,89,80,1,1,0.2298
9,868,125,6,20,0,200,31,140,1,1,0.2281
10,861,250,7,14,0,200,93,120,1,1,0.2276
11,883,500,8,15,0,200,51,120,1,1,0.2276
12,885,500,7,5,0,200,28,80,1,1,0.2268
10,865,500,7,17,0,200,44,120,1,1,0.2259
9,876,500,7,20,0,200,90,140,1,1,0.2227
10,881,125,5,7,0,200,73,80,1,1,0.2222
10,860,500,8,8,0,200,98,100,1,1,0.2219
11,861,250,7,8,0,200,75,100,1,1,0.2211
9,863,500,7,20,0,200,71,140,1,1,0.2200
9,867,500,8,13,0,200,86,100,1,1,0.2189
11,871,125,7,13,0,200,95,100,1,1,0.2153
12,888,250,6,13,0,200,22,100,1,1,0.2144
12,876,500,7,10,0,200,13,100,1,1,0.2118
12,888,125,8,16,0,200,77,120,1,1,0.2115
12,884,125,6,12,0,200,26,100,1,1,0.2073
11,864,500,8,6,0,200,84,80,1,1,0.2056
9,886,125,8,17,0,200,72,120,1,1,0.2046
9,869,250,7,20,0,200,100,140,1,1,0.2012
12,869,500,5,10,0,200,48,100,1,1,0.1981
10,864,500,5,9,0,200,80,100,1,1,0.1977
11,863,500,7,17,0,200,14,120,1,1,0.1974
12,879,250,6,11,0,200,47,100,1,1,0.1965
11,890,125,7,5,0,200,45,80,1,1,0.1960
11,868,125,6,7,0,200,43,80,1,1,0.1959
6,883,125,8,20,1,200,68,140,1,1,0.1938
6,872,125,8,20,1,200,50,140,1,1,0.1909
12,870,125,7,15,0,200,55,120,1,1,0.1904
10,879,125,8,13,0,200,76,100,1,1,0.1900
12,887,125,7,16,0,200,62,120,1,1,0.1855
12,866,250,7,10,0,200,58,100,1,1,0.1787
12,874,250,5,15,0,200,72,120,1,1,0.1778
8,861,125,8,20,0,200,86,140,1,1,0.1775
12,877,500,8,12,0,200,61,100,1,1,0.1762
12,882,250,6,11,0,200,51,100,1,1,0.1727
12,885,125,6,16,0,200,80,120,1,1,0.1615
12,867,125,7,20,0,200,13,140,1,1,0.1611
12,864,500,7,6,0,200,52,80,1,1,0.1565
12,885,125,7,5,0,200,79,80,1,1,0.1453
12,882,125,5,6,0,200,90,80,1,1,0.1260
12,864,500,7,20,0,200,17,140,1,1,0.1238
11,862,500,5,20,0,200,53,140,1,1,0.1116
12,867,125,5,4,0,200,35,80,1,1,0.0798
