SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
8,888,250,5,16,0,200,39,120,1,1,0.1740
9,877,125,5,8,0,200,43,100,1,1,0.1736
6,870,250,6,15,1,200,81,120,1,1,0.1730
8,889,250,5,17,0,200,71,120,1,1,0.1727
6,889,250,6,17,1,200,56,120,1,1,0.1726
11,877,125,7,16,0,200,13,120,1,7,0.1719
7,871,250,7,12,0,200,36,100,1,1,0.1714
7,883,125,5,11,0,200,66,100,1,1,0.1713
10,877,500,6,16,0,200,13,120,1,8,0.1704
10,877,250,5,16,0,200,13,120,1,6,0.1698
10,877,500,7,16,0,200,13,120,1,7,0.1696
10,877,250,6,16,0,200,13,120,1,7,0.1695
10,877,250,8,16,0,200,13,120,1,6,0.1688
10,884,250,6,13,0,200,31,100,1,1,0.1679
7,880,500,7,11,0,200,33,100,1,1,0.1676
10,878,125,5,10,0,200,29,100,1,1,0.1676
9,879,250,5,12,0,200,7,100,1,1,0.1675
12,877,125,6,16,0,200,13,120,1,5,0.1662
11,877,125,8,16,0,200,13,120,1,8,0.1648
6,879,250,5,2,1,200,29,80,1,1,0.1643
8,883,250,8,17,0,200,73,120,1,1,0.1641
9,864,125,5,11,0,200,62,100,1,1,0.1634
9,877,500,8,16,0,200,13,120,1,6,0.1631
7,867,250,8,2,0,200,11,80,1,1,0.1623
8,862,250,7,12,0,200,43,100,1,1,0.1620
11,882,500,5,16,0,200,13,120,1,1,0.1616
8,879,125,8,2,0,200,35,80,1,1,0.1609
11,877,250,5,16,0,200,13,120,1,4,0.1605
6,889,500,7,4,1,200,90,80,1,1,0.1602
11,885,500,7,15,0,200,61,120,1,1,0.1598
10,877,500,5,16,0,200,13,120,1,6,0.1596
6,890,125,7,9,1,200,32,100,1,1,0.1595
11,877,500,6,16,0,200,13,120,1,3,0.1585
12,877,125,5,16,0,200,13,120,1,5,0.1581
7,877,125,7,9,0,200,83,100,1,1,0.1580
7,870,250,8,5,0,200,49,80,1,1,0.1579
12,877,250,6,16,0,200,13,120,1,7,0.1579
6,879,125,5,9,1,200,95,100,1,1,0.1549
6,870,250,7,7,1,200,86,80,1,1,0.1548
11,877,250,6,16,0,200,13,120,1,8,0.1548
6,861,125,7,10,1,200,97,100,1,1,0.1545
11,877,250,7,16,0,200,13,120,1,6,0.1540
6,878,250,5,9,1,200,76,100,1,1,0.1538
7,886,250,8,5,0,200,16,80,1,1,0.1534
8,887,250,6,10,0,200,95,100,1,1,0.1532
8,863,500,5,13,0,200,93,100,1,1,0.1531
12,877,250,5,16,0,200,13,120,1,6,0.1525
7,882,125,8,8,0,200,64,100,1,1,0.1522
6,875,250,5,5,1,200,99,80,1,1,0.1522
11,885,125,8,17,0,200,47,120,1,1,0.1521
