SF,IH,BW,CR,reward,count,ucb
6,1,500,6,0.3376,63,0.4313
6,1,500,5,0.3269,78,0.4110
6,1,500,7,0.3123,40,0.4299
6,1,500,8,0.2921,28,0.4326
6,1,250,5,0.2692,22,0.4277
7,0,500,5,0.2661,21,0.4283
6,1,250,6,0.2473,16,0.4332
7,0,500,6,0.2461,16,0.4320
7,0,500,7,0.2387,15,0.4307
6,1,125,5,0.2346,14,0.4333
6,1,250,7,0.2332,14,0.4319
6,1,250,8,0.2319,14,0.4306
7,0,500,8,0.2268,13,0.4329
8,0,500,5,0.2210,13,0.4272
7,0,250,5,0.2209,14,0.4196
6,1,125,6,0.2204,13,0.4266
7,0,125,5,0.2140,13,0.4335
8,0,250,5,0.2113,12,0.4259
7,0,125,7,0.2095,12,0.4241
8,0,125,7,0.2093,12,0.4239
8,0,500,6,0.2089,12,0.4235
6,1,125,7,0.2076,11,0.4317
8,0,250,6,0.2067,11,0.4309
9,0,125,5,0.2065,11,0.4307
7,0,250,6,0.2064,11,0.4305
8,0,500,7,0.2059,12,0.4205
7,0,125,6,0.2055,11,0.4296
8,0,125,6,0.2031,11,0.4272
9,0,250,5,0.2027,11,0.4269
7,0,250,7,0.2005,11,0.4247
7,0,125,8,0.2002,11,0.4244
9,0,125,8,0.1988,11,0.4229
6,1,125,8,0.1983,10,0.4334
8,0,125,8,0.1982,10,0.4333
10,0,125,5,0.1978,11,0.4219
9,0,250,6,0.1965,10,0.4315
7,0,250,8,0.1961,10,0.4312
8,0,250,7,0.1954,10,0.4304
9,0,125,7,0.1951,10,0.4302
9,0,500,7,0.1948,10,0.4299
8,0,500,8,0.1919,10,0.4269
9,0,125,6,0.1892,10,0.4243
10,0,125,7,0.1887,10,0.4238
8,0,125,5,0.1884,10,0.4235
10,0,125,6,0.1865,10,0.4216
9,0,250,8,0.1856,9,0.4333
10,0,125,8,0.1854,9,0.4332
8,0,250,8,0.1853,9,0.4331
9,0,250,7,0.1851,10,0.4202
9,0,500,6,0.1828,9,0.4306
9,0,500,5,0.1803,9,0.4281
10,0,250,5,0.1755,9,0.4233
10,0,500,6,0.1735,9,0.4213
10,0,250,7,0.1698,8,0.4326
11,0,125,6,0.1681,8,0.4309
9,0,500,8,0.1659,8,0.4287
11,0,125,5,0.1655,8,0.4283
11,0,125,8,0.1635,9,0.4113
10,0,250,6,0.1616,9,0.4094
10,0,250,8,0.1616,8,0.4244
11,0,125,7,0.1615,8,0.4243
11,0,250,6,0.1608,8,0.4236
10,0,500,7,0.1528,8,0.4157
11,0,500,5,0.1487,7,0.4297
12,0,125,5,0.1481,7,0.4291
10,0,500,5,0.1479,7,0.4289
10,0,500,8,0.1458,7,0.4267
12,0,250,6,0.1447,7,0.4257
11,0,250,7,0.1433,7,0.4242
12,0,250,7,0.1344,7,0.4154
12,0,250,5,0.1331,7,0.4141
11,0,500,8,0.1321,7,0.4130
11,0,250,5,0.1319,7,0.4128
11,0,500,6,0.1283,6,0.4317
11,0,250,8,0.1282,6,0.4317
11,0,500,7,0.1260,6,0.4294
12,0,125,6,0.1224,6,0.4259
12,0,500,5,0.1223,7,0.4032
12,0,125,8,0.1210,6,0.4245
12,0,500,7,0.1194,6,0.4229
12,0,125,7,0.1184,6,0.4219
12,0,500,6,0.1151,6,0.4186
12,0,500,8,0.1129,6,0.4164
12,0,250,8,0.1115,6,0.4150
