SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.3518,143,0.4139
6,1,500,6,0.3203,63,0.4139
6,1,500,7,0.2961,40,0.4137
6,1,500,8,0.2595,24,0.4112
6,1,250,5,0.2475,20,0.4137
7,0,500,5,0.2391,19,0.4096
6,1,250,6,0.2291,17,0.4094
6,1,250,7,0.2214,16,0.4072
7,0,500,6,0.2181,15,0.4100
6,1,250,8,0.2094,15,0.4141
7,0,250,5,0.2064,13,0.4126
7,0,500,7,0.2059,13,0.4121
8,0,125,5,0.2027,13,0.4088
7,0,500,8,0.2018,13,0.4079
7,0,250,6,0.1975,12,0.4121
9,0,125,6,0.1969,12,0.4115
6,1,125,5,0.1963,12,0.4109
9,0,125,5,0.1939,12,0.4085
8,0,125,6,0.1898,11,0.4140
7,0,125,6,0.1889,11,0.4131
7,0,125,8,0.1871,11,0.4112
8,0,125,7,0.1860,11,0.4101
6,1,125,8,0.1845,11,0.4087
8,0,500,5,0.1845,11,0.4087
7,0,125,5,0.1838,11,0.4080
8,0,500,6,0.1831,11,0.4072
9,0,125,7,0.1816,11,0.4057
8,0,250,6,0.1815,11,0.4057
8,0,250,5,0.1808,11,0.4050
6,1,125,6,0.1804,11,0.4045
9,0,125,8,0.1786,10,0.4137
6,1,125,7,0.1783,10,0.4134
8,0,250,7,0.1750,10,0.4100
8,0,125,8,0.1745,10,0.4096
9,0,250,6,0.1658,9,0.4136
10,0,125,5,0.1649,9,0.4127
7,0,125,7,0.1648,9,0.4126
8,0,500,8,0.1647,9,0.4125
10,0,125,8,0.1646,9,0.4124
10,0,125,6,0.1645,9,0.4123
8,0,500,7,0.1631,9,0.4109
8,0,250,8,0.1621,9,0.4099
7,0,250,7,0.1599,9,0.4077
9,0,250,5,0.1552,9,0.4029
9,0,500,6,0.1503,8,0.4131
7,0,250,8,0.1499,8,0.4127
9,0,500,5,0.1481,8,0.4109
10,0,125,7,0.1474,8,0.4102
9,0,250,7,0.1468,8,0.4096
10,0,250,6,0.1442,8,0.4070
10,0,250,8,0.1441,8,0.4069
10,0,250,7,0.1429,8,0.4058
9,0,250,8,0.1413,8,0.4041
11,0,125,7,0.1328,7,0.4138
11,0,125,6,0.1315,7,0.4125
11,0,125,5,0.1309,7,0.4119
10,0,250,5,0.1309,7,0.4118
11,0,125,8,0.1285,7,0.4094
10,0,500,6,0.1284,7,0.4094
11,0,250,6,0.1283,7,0.4093
9,0,500,7,0.1275,7,0.4085
10,0,500,7,0.1247,7,0.4057
11,0,250,5,0.1233,7,0.4043
12,0,125,6,0.1230,7,0.4040
9,0,500,8,0.1217,7,0.4026
11,0,250,7,0.1102,6,0.4137
10,0,500,5,0.1090,6,0.4125
11,0,250,8,0.1070,6,0.4105
11,0,500,5,0.1069,6,0.4103
12,0,125,5,0.1054,6,0.4089
11,0,500,6,0.1053,6,0.4088
11,0,500,8,0.1039,6,0.4073
10,0,500,8,0.1038,6,0.4073
12,0,250,5,0.1024,6,0.4059
12,0,125,7,0.1001,6,0.4035
12,0,250,6,0.0979,6,0.4014
11,0,500,7,0.0964,6,0.3998
12,0,250,7,0.0942,6,0.3977
12,0,500,7,0.0912,6,0.3947
12,0,125,8,0.0905,6,0.3939
12,0,250,8,0.0802,5,0.4127
12,0,500,6,0.0798,5,0.4122
12,0,500,8,0.0796,5,0.4121
12,0,500,5,0.0766,5,0.4090
