SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
7,875,500,6,13,0,200,96,100,1,1,0.2899
7,869,125,7,5,0,200,8,80,1,10,0.2891
7,869,125,8,5,0,200,8,80,1,9,0.2887
10,869,250,6,5,0,200,8,80,1,10,0.2882
9,882,125,6,2,0,200,49,80,1,1,0.2877
9,865,125,5,8,0,200,26,100,1,1,0.2876
10,869,250,7,5,0,200,8,80,1,4,0.2873
7,871,250,7,2,0,200,86,80,1,1,0.2869
8,885,125,5,5,0,200,19,80,1,1,0.2866
9,869,500,5,5,0,200,8,80,1,10,0.2861
8,888,250,5,3,0,200,51,80,1,1,0.2859
7,885,125,6,5,0,200,19,80,1,1,0.2859
6,869,125,8,5,1,200,8,80,1,3,0.2851
8,885,500,7,5,0,200,19,80,1,4,0.2850
10,885,125,7,5,0,200,19,80,1,1,0.2844
9,864,250,8,4,0,200,29,80,1,1,0.2838
9,883,250,6,7,0,200,49,80,1,1,0.2836
9,885,250,6,5,0,200,19,80,1,4,0.2835
7,880,125,8,14,0,200,62,120,1,1,0.2830
7,869,125,6,5,0,200,8,80,1,16,0.2829
6,870,125,7,16,1,200,39,120,1,1,0.2826
6,869,125,7,5,1,200,8,80,1,10,0.2825
8,869,500,8,5,0,200,8,80,1,3,0.2821
7,885,125,5,5,0,200,19,80,1,2,0.2819
10,869,250,8,5,0,200,8,80,1,6,0.2818
9,869,500,7,5,0,200,8,80,1,7,0.2800
7,884,125,8,12,0,200,87,100,1,1,0.2800
8,865,125,8,5,0,200,21,80,1,1,0.2793
10,875,250,6,9,0,200,25,100,1,1,0.2791
6,885,125,5,5,1,200,19,80,1,2,0.2789
10,885,250,7,5,0,200,19,80,1,3,0.2788
11,869,250,5,5,0,200,8,80,1,10,0.2779
9,874,250,5,9,0,200,40,100,1,1,0.2778
7,883,500,5,12,0,200,78,100,1,1,0.2774
7,885,125,7,5,0,200,19,80,1,1,0.2770
10,885,125,5,5,0,200,19,80,1,3,0.2768
9,884,125,5,9,0,200,84,100,1,1,0.2764
11,869,250,6,5,0,200,8,80,1,11,0.2764
7,886,250,8,4,0,200,77,80,1,1,0.2752
8,885,250,8,5,0,200,19,80,1,1,0.2752
9,869,125,8,5,0,200,8,80,1,9,0.2747
8,883,125,6,20,0,200,19,140,1,1,0.2744
9,869,125,6,5,0,200,8,80,1,9,0.2744
7,885,125,8,5,0,200,19,80,1,2,0.2742
8,871,500,6,14,0,200,98,120,1,1,0.2735
8,885,500,8,5,0,200,19,80,1,1,0.2730
10,874,250,8,9,0,200,36,100,1,1,0.2728
7,862,125,5,5,0,200,13,80,1,1,0.2727
7,863,125,5,10,0,200,40,100,1,1,0.2723
7,864,250,5,6,0,200,90,80,1,1,0.2721
12,869,250,5,5,0,200,8,80,1,6,0.2718
10,869,250,5,5,0,200,8,80,1,9,0.2716
7,889,125,6,10,0,200,93,100,1,1,0.2715
8,880,500,5,20,0,200,65,140,1,1,0.2715
9,885,500,5,6,0,200,17,80,1,1,0.2704
9,885,500,8,5,0,200,19,80,1,1,0.2704
8,861,250,5,7,0,200,90,80,1,1,0.2700
10,867,500,6,15,0,200,6,120,1,1,0.2698
7,888,500,7,9,0,200,69,100,1,1,0.2691
7,869,250,7,5,0,200,8,80,1,5,0.2689
11,885,250,6,5,0,200,19,80,1,1,0.2681
6,884,125,5,14,1,200,70,120,1,1,0.2677
8,873,500,8,6,0,200,63,80,1,1,0.2676
9,885,500,7,5,0,200,19,80,1,2,0.2676
6,885,125,6,5,1,200,19,80,1,2,0.2675
10,876,250,6,4,0,200,76,80,1,1,0.2675
10,869,125,6,5,0,200,8,80,1,7,0.2673
11,875,250,7,14,0,200,13,120,1,1,0.2671
11,885,250,5,5,0,200,19,80,1,1,0.2668
9,873,500,5,6,0,200,35,80,1,1,0.2663
10,869,125,7,5,0,200,8,80,1,12,0.2662
10,867,125,7,7,0,200,42,80,1,1,0.2660
10,869,125,5,5,0,200,8,80,1,8,0.2659
6,887,125,7,12,1,200,49,100,1,1,0.2659
10,864,250,8,5,0,200,31,80,1,1,0.2655
9,869,500,6,5,0,200,8,80,1,5,0.2655
11,869,250,8,5,0,200,8,80,1,9,0.2652
11,869,125,5,5,0,200,8,80,1,5,0.2651
9,888,500,7,4,0,200,17,80,1,1,0.2650
10,869,125,8,5,0,200,8,80,1,6,0.2648
11,878,250,7,9,0,200,60,100,1,1,0.2642
6,875,125,5,9,1,200,71,100,1,1,0.2641
6,889,250,8,4,1,200,73,80,1,1,0.2640
10,875,250,8,7,0,200,53,80,1,1,0.2639
6,860,250,8,16,1,200,99,120,1,1,0.2638
7,869,125,7,17,0,200,65,120,1,1,0.2631
9,866,125,8,9,0,200,57,100,1,1,0.2605
8,868,500,8,5,0,200,100,80,1,1,0.2601
10,881,125,5,16,0,200,9,120,1,1,0.2596
9,869,500,8,5,0,200,8,80,1,8,0.2586
9,878,125,5,15,0,200,53,120,1,1,0.2581
6,877,125,5,4,1,200,84,80,1,1,0.2579
6,872,125,5,9,1,200,83,100,1,1,0.2569
12,869,250,8,5,0,200,8,80,1,2,0.2562
10,875,250,7,8,0,200,72,100,1,1,0.2558
8,868,500,7,17,0,200,69,120,1,1,0.2555
10,883,500,7,12,0,200,52,100,1,1,0.2554
9,874,125,7,8,0,200,67,100,1,1,0.2551
11,869,250,7,5,0,200,8,80,1,6,0.2546
10,885,125,8,5,0,200,19,80,1,1,0.2541
6,878,125,6,17,1,200,16,120,1,1,0.2540
10,869,500,8,10,0,200,87,100,1,1,0.2539
7,865,500,8,12,0,200,93,100,1,1,0.2538
10,860,125,7,9,0,200,15,100,1,1,0.2535
11,875,125,6,10,0,200,13,100,1,1,0.2535
10,885,500,6,5,0,200,19,80,1,3,0.2532
7,866,125,7,17,0,200,55,120,1,1,0.2529
10,869,250,6,4,0,200,49,80,1,1,0.2526
9,881,500,7,5,0,200,51,80,1,1,0.2526
10,882,500,6,7,0,200,30,80,1,1,0.2519
9,866,250,5,16,0,200,71,120,1,1,0.2518
10,880,500,6,6,0,200,32,80,1,1,0.2515
10,866,250,5,16,0,200,77,120,1,1,0.2509
11,869,125,6,5,0,200,8,80,1,6,0.2507
10,876,250,6,4,0,200,93,80,1,1,0.2495
10,886,250,7,9,0,200,83,100,1,1,0.2495
10,869,500,7,5,0,200,8,80,1,4,0.2493
11,871,500,7,14,0,200,17,120,1,1,0.2491
11,860,250,6,8,0,200,7,100,1,1,0.2490
9,885,500,6,5,0,200,19,80,1,1,0.2490
10,869,500,6,5,0,200,8,80,1,6,0.2483
10,869,500,8,5,0,200,8,80,1,6,0.2478
12,869,250,6,5,0,200,8,80,1,15,0.2473
8,890,500,6,9,0,200,99,100,1,1,0.2471
9,885,500,5,5,0,200,19,80,1,1,0.2459
12,869,250,7,5,0,200,8,80,1,11,0.2459
11,869,125,8,5,0,200,8,80,1,8,0.2430
11,885,250,8,5,0,200,19,80,1,1,0.2406
11,869,125,7,5,0,200,8,80,1,8,0.2403
11,885,500,6,5,0,200,19,80,1,3,0.2402
12,885,250,7,5,0,200,19,80,1,5,0.2397
9,890,500,8,17,0,200,82,120,1,1,0.2396
10,869,500,5,5,0,200,8,80,1,7,0.2392
11,878,250,5,12,0,200,81,100,1,1,0.2392
10,867,500,5,11,0,200,57,100,1,1,0.2384
10,888,125,5,12,0,200,34,100,1,1,0.2382
12,885,250,6,5,0,200,19,80,1,1,0.2379
11,885,250,7,5,0,200,19,80,1,2,0.2374
10,890,125,5,6,0,200,87,80,1,1,0.2370
11,885,125,6,5,0,200,19,80,1,1,0.2357
11,885,500,8,5,0,200,19,80,1,4,0.2356
12,885,250,5,5,0,200,19,80,1,3,0.2348
10,870,500,8,5,0,200,54,80,1,1,0.2339
9,871,250,6,20,0,200,97,140,1,1,0.2336
11,885,500,7,5,0,200,19,80,1,2,0.2334
8,861,500,8,10,0,200,64,100,1,1,0.2321
11,869,500,8,5,0,200,8,80,1,4,0.2318
10,885,500,7,5,0,200,19,80,1,1,0.2315
11,876,500,5,13,0,200,67,100,1,1,0.2304
10,885,500,5,5,0,200,19,80,1,2,0.2297
10,885,500,8,5,0,200,19,80,1,1,0.2285
12,885,250,8,5,0,200,19,80,1,2,0.2283
12,878,250,5,8,0,200,25,100,1,1,0.2276
11,882,500,8,14,0,200,64,120,1,1,0.2262
11,885,125,8,5,0,200,19,80,1,2,0.2261
11,869,500,7,5,0,200,8,80,1,9,0.2253
11,876,500,6,7,0,200,18,80,1,1,0.2251
11,885,125,7,5,0,200,19,80,1,2,0.2234
11,869,500,6,5,0,200,8,80,1,6,0.2223
12,890,250,5,4,0,200,16,80,1,1,0.2215
10,864,250,7,17,0,200,61,120,1,1,0.2209
11,869,500,5,5,0,200,8,80,1,7,0.2195
11,882,500,6,7,0,200,91,80,1,1,0.2178
11,874,500,8,9,0,200,36,100,1,2,0.2178
10,883,125,8,5,0,200,67,80,1,1,0.2175
10,883,125,8,14,0,200,90,120,1,1,0.2168
11,885,125,5,5,0,200,19,80,1,4,0.2156
7,860,500,6,4,0,200,99,80,1,1,0.2156
12,861,250,5,9,0,200,24,100,1,1,0.2135
12,875,250,8,14,0,200,19,120,1,1,0.2113
11,878,250,5,17,0,200,91,120,1,1,0.2112
10,872,125,5,10,0,200,99,100,1,1,0.2110
11,879,500,8,7,0,200,30,80,1,1,0.2108
11,885,500,5,5,0,200,19,80,1,1,0.2087
9,860,125,5,13,0,200,90,100,1,1,0.2072
12,869,500,7,5,0,200,8,80,1,6,0.2071
12,869,500,8,5,0,200,8,80,1,8,0.2048
6,879,125,8,17,1,200,41,120,1,1,0.2036
11,879,125,7,4,0,200,33,80,1,1,0.2026
12,872,500,5,12,0,200,25,100,1,1,0.2015
12,869,500,6,5,0,200,8,80,1,3,0.1973
12,885,500,5,5,0,200,19,80,1,2,0.1973
12,869,500,7,7,0,200,30,80,1,1,0.1963
12,869,500,5,5,0,200,8,80,1,7,0.1927
11,860,500,8,13,0,200,32,100,1,1,0.1862
12,879,500,6,14,0,200,30,120,1,1,0.1858
12,885,500,7,5,0,200,19,80,1,2,0.1845
12,871,500,6,13,0,200,34,100,1,1,0.1843
11,878,125,8,15,0,200,46,120,1,1,0.1842
11,860,125,7,5,0,200,30,80,1,1,0.1838
11,865,125,7,6,0,200,69,80,1,1,0.1838
12,885,500,8,5,0,200,19,80,1,1,0.1832
12,877,500,7,4,0,200,41,80,1,1,0.1822
11,860,250,7,10,0,200,96,100,1,1,0.1807
12,869,125,5,5,0,200,8,80,1,6,0.1804
10,885,500,6,20,0,200,66,140,1,1,0.1783
12,885,500,6,5,0,200,40,80,1,1,0.1734
12,869,125,6,5,0,200,8,80,1,3,0.1733
12,870,500,6,13,0,200,68,100,1,1,0.1705
11,863,125,6,4,0,200,58,80,1,1,0.1657
12,886,250,7,15,0,200,75,120,1,1,0.1634
12,869,125,7,5,0,200,8,80,1,3,0.1628
11,872,125,5,3,0,200,78,80,1,1,0.1626
12,886,125,8,13,0,200,60,100,1,1,0.1620
11,863,500,6,13,0,200,93,100,1,1,0.1612
12,864,125,5,15,0,200,23,120,1,1,0.1591
12,869,125,8,5,0,200,8,80,1,9,0.1582
12,881,125,7,13,0,200,98,100,1,1,0.1552
12,878,125,6,11,0,200,51,100,1,1,0.1530
12,889,125,7,17,0,200,64,120,1,1,0.1521
12,885,125,7,5,0,200,19,80,1,1,0.1501
12,885,125,8,5,0,200,19,80,1,3,0.1494
12,885,125,5,5,0,200,19,80,1,2,0.1435
12,876,500,6,20,0,200,27,140,1,1,0.1351
12,885,125,7,5,0,200,61,80,1,1,0.1260
12,864,500,8,5,0,200,76,80,1,1,0.1254
11,889,500,7,20,0,200,56,140,1,1,0.1250
12,860,125,5,5,0,200,89,80,1,1,0.1172
11,860,500,6,20,0,200,76,140,1,1,0.1110
