SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.4229,77,0.5116
6,1,500,6,0.3689,112,0.4391
6,1,500,8,0.2960,28,0.4365
6,1,250,5,0.2940,28,0.4345
7,0,500,5,0.2902,25,0.4389
6,1,500,7,0.2851,31,0.4186
6,1,250,6,0.2655,18,0.4407
7,0,500,6,0.2597,17,0.4400
6,1,250,7,0.2452,15,0.4371
7,0,500,7,0.2408,14,0.4395
6,1,250,8,0.2398,14,0.4385
7,0,250,5,0.2346,13,0.4408
8,0,500,5,0.2338,13,0.4400
8,0,125,5,0.2296,13,0.4358
7,0,500,8,0.2275,13,0.4337
7,0,125,5,0.2264,13,0.4326
7,0,125,6,0.2161,11,0.4402
6,1,125,6,0.2155,11,0.4396
9,0,125,5,0.2105,11,0.4347
7,0,125,7,0.2080,11,0.4321
7,0,250,8,0.2078,11,0.4319
8,0,125,8,0.2071,11,0.4312
6,1,125,5,0.2064,12,0.4210
6,1,125,8,0.2057,10,0.4408
10,0,125,5,0.2044,10,0.4395
8,0,125,6,0.2043,10,0.4394
7,0,250,7,0.2043,10,0.4393
8,0,250,6,0.2037,10,0.4388
9,0,125,7,0.2022,10,0.4372
8,0,500,8,0.2011,10,0.4362
8,0,500,7,0.2005,10,0.4356
9,0,250,6,0.2001,10,0.4352
8,0,500,6,0.1962,11,0.4203
9,0,500,5,0.1960,10,0.4311
9,0,125,8,0.1958,10,0.4308
8,0,250,5,0.1923,9,0.4401
8,0,250,7,0.1914,9,0.4392
8,0,125,7,0.1911,9,0.4389
7,0,125,8,0.1911,9,0.4389
9,0,250,7,0.1911,9,0.4389
10,0,125,7,0.1908,9,0.4386
7,0,250,6,0.1897,9,0.4375
8,0,250,8,0.1891,9,0.4369
9,0,250,5,0.1878,9,0.4356
9,0,250,8,0.1876,9,0.4353
11,0,125,5,0.1848,9,0.4326
9,0,125,6,0.1814,9,0.4292
10,0,125,6,0.1807,9,0.4285
6,1,125,7,0.1780,8,0.4408
11,0,125,7,0.1769,8,0.4397
10,0,125,8,0.1765,9,0.4243
9,0,500,7,0.1693,8,0.4322
10,0,250,6,0.1676,8,0.4304
11,0,125,6,0.1663,8,0.4291
9,0,500,8,0.1643,8,0.4272
10,0,250,5,0.1630,8,0.4258
10,0,250,7,0.1606,7,0.4416
10,0,500,5,0.1581,7,0.4391
10,0,500,6,0.1568,7,0.4378
10,0,250,8,0.1550,7,0.4360
11,0,125,8,0.1547,7,0.4356
11,0,250,7,0.1546,7,0.4356
9,0,500,6,0.1546,8,0.4174
11,0,250,6,0.1469,7,0.4279
12,0,125,5,0.1452,7,0.4262
12,0,125,6,0.1416,7,0.4225
11,0,250,5,0.1404,7,0.4214
11,0,500,7,0.1380,6,0.4415
10,0,500,8,0.1379,6,0.4414
10,0,500,7,0.1363,6,0.4398
11,0,500,5,0.1362,6,0.4397
11,0,250,8,0.1340,6,0.4375
11,0,500,6,0.1339,6,0.4374
12,0,250,6,0.1321,6,0.4356
12,0,250,5,0.1296,6,0.4331
12,0,125,8,0.1259,6,0.4294
11,0,500,8,0.1237,6,0.4272
12,0,500,6,0.1235,6,0.4270
12,0,250,7,0.1183,6,0.4217
12,0,125,7,0.1076,5,0.4401
12,0,250,8,0.1031,5,0.4355
12,0,500,5,0.1023,5,0.4348
12,0,500,8,0.0949,5,0.4274
12,0,500,7,0.0924,5,0.4249
